Barco,operacion,iteraciones,daño,time
venture,insert,1,0,2.109
venture,insert,1,0,1.288
venture,insert,1,0,0.927
venture,insert,1,0,1.412
venture,insert,1,0,0.379
venture,insert,1,0,0.269
venture,insert,1,0,0.528
venture,insert,1,0,0.365
venture,insert,1,0,0.263
venture,insert,1,0,0.354
venture,insert,1,0,0.314
venture,insert,1,0,0.366
venture,insert,1,0,0.258
venture,insert,1,0,0.331
venture,insert,1,0,0.241
venture,insert,1,0,0.66
venture,insert,1,0,2.458
venture,insert,1,0,0.364
venture,insert,1,0,0.279
venture,insert,1,0,0.378
venture,insert,1,0,0.344
venture,insert,1,0,0.276
venture,insert,1,0,0.279
venture,insert,1,0,0.308
venture,insert,1,0,0.403
venture,insert,1,0,0.467
venture,insert,1,0,0.318
venture,insert,1,0,0.331
venture,insert,1,0,0.993
venture,insert,1,0,0.294
venture,insert,1,0,0.384
venture,insert,1,0,0.384
venture,insert,1,0,0.324
venture,insert,1,0,1.339
venture,insert,1,0,0.265
venture,insert,1,0,0.244
venture,insert,1,0,0.181
venture,insert,1,0,0.368
venture,insert,1,0,0.237
venture,insert,1,0,0.354
venture,insert,1,0,0.4
venture,insert,1,0,0.381
venture,insert,1,0,0.364
venture,insert,1,0,0.267
venture,insert,1,0,0.357
venture,insert,1,0,0.938
venture,insert,1,0,0.401
venture,insert,1,0,0.25
venture,insert,1,0,0.23
venture,insert,1,0,0.069
venture,insert,1,0,0.062
venture,insert,1,0,0.101
venture,insert,1,0,0.075
venture,insert,1,0,0.069
venture,insert,1,0,0.071
venture,insert,1,0,0.064
venture,insert,1,0,0.064
venture,insert,1,0,0.07
venture,insert,1,0,0.068
venture,insert,1,0,0.085
venture,insert,1,0,0.07
venture,insert,1,0,0.07
venture,insert,1,0,0.1
venture,insert,1,0,0.122
venture,insert,1,0,0.295
venture,insert,1,0,0.076
venture,insert,1,0,0.107
venture,insert,1,0,0.078
venture,insert,1,0,0.155
venture,insert,1,0,0.078
venture,insert,1,0,0.102
venture,insert,1,0,0.097
venture,insert,1,0,0.087
venture,insert,1,0,0.071
venture,insert,1,0,0.076
venture,insert,1,0,0.099
venture,insert,1,0,0.103
venture,insert,1,0,0.088
venture,insert,1,0,0.104
venture,insert,1,0,0.075
venture,insert,1,0,0.078
venture,insert,1,0,0.084
venture,insert,1,0,0.07
venture,insert,1,0,0.078
venture,insert,1,0,0.065
venture,insert,1,0,0.996
venture,insert,1,0,0.091
venture,insert,1,0,0.05
venture,insert,1,0,0.14
venture,insert,1,0,0.095
venture,insert,1,0,0.126
venture,insert,1,0,0.118
venture,insert,1,0,0.145
venture,insert,1,0,0.091
venture,insert,1,0,0.099
venture,insert,1,0,0.213
venture,insert,1,0,0.097
venture,insert,1,0,0.081
venture,insert,1,0,0.043
venture,insert,1,0,0.124
