Barco,operacion,iteraciones, tiempo,daño, complexity
Remora-BTree,delete,4,1.34,0,4.19181
Remora-BTree,delete,3,0.303,0,4.18266
Remora-BTree,delete,3,0.471,0,4.17342
Remora-BTree,delete,3,0.506,0,4.16408
Remora-BTree,delete,3,0.3,0,4.15465
Remora-BTree,delete,3,0.176,0,4.14512
Remora-BTree,delete,3,0.449,0,4.13549
Remora-BTree,delete,3,0.22,0,4.12575
Remora-BTree,delete,3,0.205,0,4.11591
Remora-BTree,delete,3,0.197,0,4.10596
Remora-BTree,delete,3,0.304,0,4.0959
Remora-BTree,delete,3,0.143,0,4.08573
Remora-BTree,delete,3,0.387,0,4.07545
Remora-BTree,delete,3,0.255,0,4.06504
Remora-BTree,delete,3,0.186,0,4.05452
Remora-BTree,delete,3,0.126,0,4.04388
Remora-BTree,delete,3,0.26,0,4.0331
Remora-BTree,delete,3,0.314,0,4.0222
Remora-BTree,delete,3,0.447,0,4.01117
Remora-BTree,delete,3,0.276,0,4
Remora-BTree,delete,3,0.273,0,3.98869
Remora-BTree,delete,3,0.49,0,3.97724
Remora-BTree,delete,3,0.209,0,3.96565
Remora-BTree,delete,3,0.254,0,3.9539
Remora-BTree,delete,3,0.286,0,3.942
Remora-BTree,delete,3,0.318,0,3.92995
Remora-BTree,delete,3,0.252,0,3.91773
Remora-BTree,delete,3,0.247,0,3.90534
Remora-BTree,delete,3,0.487,0,3.89279
Remora-BTree,delete,3,0.424,0,3.88006
Remora-BTree,delete,3,0.18,0,3.86715
Remora-BTree,delete,3,0.488,0,3.85405
Remora-BTree,delete,3,0.204,0,3.84076
Remora-BTree,delete,3,0.209,0,3.82728
Remora-BTree,delete,3,0.273,0,3.81359
Remora-BTree,delete,3,0.282,0,3.79969
Remora-BTree,delete,3,0.342,0,3.78558
Remora-BTree,delete,3,0.398,0,3.77124
Remora-BTree,delete,3,0.369,0,3.75668
Remora-BTree,delete,3,0.399,0,3.74188
Remora-BTree,delete,3,0.317,0,3.72683
Remora-BTree,delete,3,0.44,0,3.71153
Remora-BTree,delete,3,0.295,0,3.69597
Remora-BTree,delete,3,0.309,0,3.68014
Remora-BTree,delete,3,0.176,0,3.66403
Remora-BTree,delete,3,0.271,0,3.64763
Remora-BTree,delete,3,0.297,0,3.63093
Remora-BTree,delete,3,0.354,0,3.61392
Remora-BTree,delete,3,0.206,0,3.59658
Remora-BTree,delete,3,0.382,0,3.5789
Remora-BTree,delete,3,0.224,0,3.56088
Remora-BTree,delete,3,0.355,0,3.54249
Remora-BTree,delete,3,0.347,0,3.52372
Remora-BTree,delete,3,0.261,0,3.50456
Remora-BTree,delete,3,0.333,0,3.48498
Remora-BTree,delete,3,0.41,0,3.46497
Remora-BTree,delete,3,0.417,0,3.44452
Remora-BTree,delete,3,0.262,0,3.42359
Remora-BTree,delete,3,0.189,0,3.40217
Remora-BTree,delete,3,0.305,0,3.38024
Remora-BTree,delete,3,0.383,0,3.35776
Remora-BTree,delete,3,0.429,0,3.33472
Remora-BTree,delete,3,0.521,0,3.31107
Remora-BTree,delete,3,0.251,0,3.2868
Remora-BTree,delete,3,0.229,0,3.26186
Remora-BTree,delete,3,0.188,0,3.23622
Remora-BTree,delete,3,0.19,0,3.20983
Remora-BTree,delete,3,0.387,0,3.18266
Remora-BTree,delete,3,0.214,0,3.15465
Remora-BTree,delete,3,0.179,0,3.12575
Remora-BTree,delete,3,0.377,0,3.0959
Remora-BTree,delete,3,0.167,0,3.06504
Remora-BTree,delete,3,0.171,0,3.0331
Remora-BTree,delete,3,0.223,0,3
Remora-BTree,delete,3,0.16,0,2.96565
Remora-BTree,delete,3,0.209,0,2.92995
Remora-BTree,delete,3,0.229,0,2.89279
Remora-BTree,delete,3,0.177,0,2.85405
Remora-BTree,delete,3,0.259,0,2.81359
Remora-BTree,delete,3,0.375,0,2.77124
Remora-BTree,delete,2,0.237,0,2.72683
Remora-BTree,delete,2,0.176,0,2.68014
Remora-BTree,delete,2,0.147,0,2.63093
Remora-BTree,delete,2,0.216,0,2.5789
Remora-BTree,delete,2,0.124,0,2.52372
Remora-BTree,delete,2,0.293,0,2.46497
Remora-BTree,delete,2,0.185,0,2.40217
Remora-BTree,delete,2,0.176,0,2.33472
Remora-BTree,delete,2,0.192,0,2.26186
Remora-BTree,delete,2,0.235,0,2.18266
Remora-BTree,delete,2,0.187,0,2.0959
Remora-BTree,delete,2,0.14,0,2
Remora-BTree,delete,2,0.289,0,1.89279
Remora-BTree,delete,2,0.18,0,1.77124
Remora-BTree,delete,2,0.166,0,1.63093
Remora-BTree,delete,2,0.304,0,1.46497
Remora-BTree,delete,1,0.149,0,1.26186
Remora-BTree,delete,1,0.146,0,1
Remora-BTree,delete,1,0.111,0,0.63093
Remora-BTree,delete,1,0.173,0,0
