Barco,operacion,iteraciones, tiempo,daño, complexity
winterhlater-Splay,delete,7,1.675,0,6.64386
winterhlater-Splay,delete,4,0.205,0,6.62936
winterhlater-Splay,delete,7,0.477,0,6.61471
winterhlater-Splay,delete,9,0.566,0,6.59991
winterhlater-Splay,delete,6,0.304,0,6.58496
winterhlater-Splay,delete,6,0.243,0,6.56986
winterhlater-Splay,delete,6,0.348,0,6.55459
winterhlater-Splay,delete,4,0.286,0,6.53916
winterhlater-Splay,delete,5,0.303,0,6.52356
winterhlater-Splay,delete,6,0.319,0,6.50779
winterhlater-Splay,delete,6,0.387,0,6.49185
winterhlater-Splay,delete,6,0.318,0,6.47573
winterhlater-Splay,delete,4,0.246,0,6.45943
winterhlater-Splay,delete,11,0.597,0,6.44294
winterhlater-Splay,delete,6,0.338,0,6.42626
winterhlater-Splay,delete,7,0.327,0,6.40939
winterhlater-Splay,delete,6,0.232,0,6.39232
winterhlater-Splay,delete,10,0.508,0,6.37504
winterhlater-Splay,delete,6,0.304,0,6.35755
winterhlater-Splay,delete,8,0.434,0,6.33985
winterhlater-Splay,delete,8,0.368,0,6.32193
winterhlater-Splay,delete,8,0.316,0,6.30378
winterhlater-Splay,delete,5,0.204,0,6.2854
winterhlater-Splay,delete,4,0.202,0,6.26679
winterhlater-Splay,delete,7,0.294,0,6.24793
winterhlater-Splay,delete,6,0.268,0,6.22882
winterhlater-Splay,delete,5,0.321,0,6.20945
winterhlater-Splay,delete,4,0.243,0,6.18982
winterhlater-Splay,delete,7,0.316,0,6.16993
winterhlater-Splay,delete,4,0.232,0,6.14975
winterhlater-Splay,delete,9,0.496,0,6.12928
winterhlater-Splay,delete,5,0.294,0,6.10852
winterhlater-Splay,delete,7,0.485,0,6.08746
winterhlater-Splay,delete,3,0.201,0,6.06609
winterhlater-Splay,delete,3,0.214,0,6.04439
winterhlater-Splay,delete,8,0.399,0,6.02237
winterhlater-Splay,delete,5,0.257,0,6
winterhlater-Splay,delete,9,0.316,0,5.97728
winterhlater-Splay,delete,6,0.239,0,5.9542
winterhlater-Splay,delete,8,0.424,0,5.93074
winterhlater-Splay,delete,8,0.364,0,5.90689
winterhlater-Splay,delete,6,0.384,0,5.88264
winterhlater-Splay,delete,5,0.314,0,5.85798
winterhlater-Splay,delete,8,0.425,0,5.83289
winterhlater-Splay,delete,7,0.357,0,5.80735
winterhlater-Splay,delete,4,0.272,0,5.78136
winterhlater-Splay,delete,9,0.467,0,5.75489
winterhlater-Splay,delete,2,0.144,0,5.72792
winterhlater-Splay,delete,4,0.257,0,5.70044
winterhlater-Splay,delete,4,0.265,0,5.67243
winterhlater-Splay,delete,4,0.198,0,5.64386
winterhlater-Splay,delete,8,0.338,0,5.61471
winterhlater-Splay,delete,5,0.278,0,5.58496
winterhlater-Splay,delete,5,0.259,0,5.55459
winterhlater-Splay,delete,5,0.214,0,5.52356
winterhlater-Splay,delete,9,0.403,0,5.49185
winterhlater-Splay,delete,5,0.265,0,5.45943
winterhlater-Splay,delete,5,0.149,0,5.42626
winterhlater-Splay,delete,5,0.203,0,5.39232
winterhlater-Splay,delete,6,0.305,0,5.35755
winterhlater-Splay,delete,9,0.316,0,5.32193
winterhlater-Splay,delete,4,0.22,0,5.2854
winterhlater-Splay,delete,5,0.362,0,5.24793
winterhlater-Splay,delete,6,0.329,0,5.20945
winterhlater-Splay,delete,6,0.385,0,5.16993
winterhlater-Splay,delete,3,0.157,0,5.12928
winterhlater-Splay,delete,3,0.215,0,5.08746
winterhlater-Splay,delete,3,0.113,0,5.04439
winterhlater-Splay,delete,8,0.314,0,5
winterhlater-Splay,delete,5,0.271,0,4.9542
winterhlater-Splay,delete,3,0.158,0,4.90689
winterhlater-Splay,delete,4,0.271,0,4.85798
winterhlater-Splay,delete,4,0.161,0,4.80735
winterhlater-Splay,delete,4,0.187,0,4.75489
winterhlater-Splay,delete,5,0.214,0,4.70044
winterhlater-Splay,delete,6,0.282,0,4.64386
winterhlater-Splay,delete,3,0.172,0,4.58496
winterhlater-Splay,delete,6,0.31,0,4.52356
winterhlater-Splay,delete,5,0.261,0,4.45943
winterhlater-Splay,delete,3,0.144,0,4.39232
winterhlater-Splay,delete,2,0.119,0,4.32193
winterhlater-Splay,delete,6,0.246,0,4.24793
winterhlater-Splay,delete,4,0.154,0,4.16993
winterhlater-Splay,delete,4,0.229,0,4.08746
winterhlater-Splay,delete,3,0.209,0,4
winterhlater-Splay,delete,4,0.158,0,3.90689
winterhlater-Splay,delete,3,0.13,0,3.80735
winterhlater-Splay,delete,1,0.116,0,3.70044
winterhlater-Splay,delete,2,0.175,0,3.58496
winterhlater-Splay,delete,5,0.209,0,3.45943
winterhlater-Splay,delete,5,0.328,0,3.32193
winterhlater-Splay,delete,3,0.212,0,3.16993
winterhlater-Splay,delete,4,0.137,0,3
winterhlater-Splay,delete,3,0.13,0,2.80735
winterhlater-Splay,delete,3,0.153,0,2.58496
winterhlater-Splay,delete,2,0.123,0,2.32193
winterhlater-Splay,delete,2,0.136,0,2
winterhlater-Splay,delete,2,0.069,0,1.58496
winterhlater-Splay,delete,1,0.103,0,1
winterhlater-Splay,delete,1,0.055,0,0
