Barco,operacion,iteraciones, tiempo,daño, complexity
Remora-BTree,insert,1,0.971,0,0
Remora-BTree,insert,1,0.364,0,0.63093
Remora-BTree,insert,1,0.076,0,1
Remora-BTree,insert,1,0.115,0,1.26186
Remora-BTree,insert,1,0.07,0,1.46497
Remora-BTree,insert,2,0.498,0,1.63093
Remora-BTree,insert,2,0.197,0,1.77124
Remora-BTree,insert,2,0.115,0,1.89279
Remora-BTree,insert,2,0.098,0,2
Remora-BTree,insert,2,0.434,0,2.0959
Remora-BTree,insert,2,0.152,0,2.18266
Remora-BTree,insert,2,0.15,0,2.26186
Remora-BTree,insert,2,0.186,0,2.33472
Remora-BTree,insert,2,0.135,0,2.40217
Remora-BTree,insert,2,0.137,0,2.46497
Remora-BTree,insert,2,0.078,0,2.52372
Remora-BTree,insert,2,0.466,0,2.5789
Remora-BTree,insert,2,0.353,0,2.63093
Remora-BTree,insert,2,0.153,0,2.68014
Remora-BTree,insert,2,0.158,0,2.72683
Remora-BTree,insert,2,0.172,0,2.77124
Remora-BTree,insert,2,0.5,0,2.81359
Remora-BTree,insert,3,1,0,2.85405
Remora-BTree,insert,3,0.761,0,2.89279
Remora-BTree,insert,3,0.482,0,2.92995
Remora-BTree,insert,3,0.231,0,2.96565
Remora-BTree,insert,3,0.136,0,3
Remora-BTree,insert,3,0.468,0,3.0331
Remora-BTree,insert,3,0.514,0,3.06504
Remora-BTree,insert,3,0.194,0,3.0959
Remora-BTree,insert,3,0.14,0,3.12575
Remora-BTree,insert,3,0.08,0,3.15465
Remora-BTree,insert,3,0.188,0,3.18266
Remora-BTree,insert,3,0.172,0,3.20983
Remora-BTree,insert,3,0.133,0,3.23622
Remora-BTree,insert,3,0.116,0,3.26186
Remora-BTree,insert,3,0.143,0,3.2868
Remora-BTree,insert,3,0.108,0,3.31107
Remora-BTree,insert,3,0.114,0,3.33472
Remora-BTree,insert,3,0.125,0,3.35776
Remora-BTree,insert,3,0.441,0,3.38024
Remora-BTree,insert,3,0.122,0,3.40217
Remora-BTree,insert,3,0.125,0,3.42359
Remora-BTree,insert,3,0.197,0,3.44452
Remora-BTree,insert,3,0.435,0,3.46497
Remora-BTree,insert,3,0.661,0,3.48498
Remora-BTree,insert,3,0.211,0,3.50456
Remora-BTree,insert,3,0.137,0,3.52372
Remora-BTree,insert,3,0.229,0,3.54249
Remora-BTree,insert,3,0.179,0,3.56088
Remora-BTree,insert,3,0.137,0,3.5789
Remora-BTree,insert,3,0.153,0,3.59658
Remora-BTree,insert,3,0.143,0,3.61392
Remora-BTree,insert,3,0.311,0,3.63093
Remora-BTree,insert,3,7.325,0,3.64763
Remora-BTree,insert,3,0.21,0,3.66403
Remora-BTree,insert,3,0.142,0,3.68014
Remora-BTree,insert,3,0.277,0,3.69597
Remora-BTree,insert,3,0.14,0,3.71153
Remora-BTree,insert,3,0.155,0,3.72683
Remora-BTree,insert,3,0.19,0,3.74188
Remora-BTree,insert,3,0.131,0,3.75668
Remora-BTree,insert,3,0.363,0,3.77124
Remora-BTree,insert,3,0.333,0,3.78558
Remora-BTree,insert,3,0.449,0,3.79969
Remora-BTree,insert,3,0.19,0,3.81359
Remora-BTree,insert,3,0.191,0,3.82728
Remora-BTree,insert,3,0.46,0,3.84076
Remora-BTree,insert,3,0.55,0,3.85405
Remora-BTree,insert,3,0.185,0,3.86715
Remora-BTree,insert,3,0.101,0,3.88006
Remora-BTree,insert,3,0.235,0,3.89279
Remora-BTree,insert,3,0.191,0,3.90534
Remora-BTree,insert,3,0.154,0,3.91773
Remora-BTree,insert,3,0.195,0,3.92995
Remora-BTree,insert,3,0.314,0,3.942
Remora-BTree,insert,3,0.131,0,3.9539
Remora-BTree,insert,3,0.144,0,3.96565
Remora-BTree,insert,3,0.155,0,3.97724
Remora-BTree,insert,3,0.164,0,3.98869
Remora-BTree,insert,3,0.211,0,4
Remora-BTree,insert,3,0.467,0,4.01117
Remora-BTree,insert,3,0.379,0,4.0222
Remora-BTree,insert,3,0.225,0,4.0331
Remora-BTree,insert,3,0.182,0,4.04388
Remora-BTree,insert,3,0.393,0,4.05452
Remora-BTree,insert,3,0.269,0,4.06504
Remora-BTree,insert,3,0.216,0,4.07545
Remora-BTree,insert,3,0.542,0,4.08573
Remora-BTree,insert,3,0.209,0,4.0959
Remora-BTree,insert,3,0.339,0,4.10596
Remora-BTree,insert,3,0.399,0,4.11591
Remora-BTree,insert,3,0.448,0,4.12575
Remora-BTree,insert,4,0.919,0,4.13549
Remora-BTree,insert,4,0.264,0,4.14512
Remora-BTree,insert,4,0.169,0,4.15465
Remora-BTree,insert,4,0.239,0,4.16408
Remora-BTree,insert,4,0.174,0,4.17342
Remora-BTree,insert,4,0.161,0,4.18266
Remora-BTree,insert,4,0.179,0,4.19181
