Barco,operacion,iteraciones, tiempo,daño, complexity
venture-LinkedList,insert,1,0.757,0,1
venture-LinkedList,insert,1,0.249,0,1
venture-LinkedList,insert,1,0.114,0,1
venture-LinkedList,insert,1,0.062,0,1
venture-LinkedList,insert,1,0.093,0,1
venture-LinkedList,insert,1,0.076,0,1
venture-LinkedList,insert,1,0.065,0,1
venture-LinkedList,insert,1,0.092,0,1
venture-LinkedList,insert,1,0.081,0,1
venture-LinkedList,insert,1,0.055,0,1
venture-LinkedList,insert,1,0.059,0,1
venture-LinkedList,insert,1,0.091,0,1
venture-LinkedList,insert,1,0.058,0,1
venture-LinkedList,insert,1,0.058,0,1
venture-LinkedList,insert,1,0.092,0,1
venture-LinkedList,insert,1,0.056,0,1
venture-LinkedList,insert,1,0.057,0,1
venture-LinkedList,insert,1,0.174,0,1
venture-LinkedList,insert,1,2.965,0,1
venture-LinkedList,insert,1,0.07,0,1
venture-LinkedList,insert,1,0.069,0,1
venture-LinkedList,insert,1,0.058,0,1
venture-LinkedList,insert,1,0.056,0,1
venture-LinkedList,insert,1,0.055,0,1
venture-LinkedList,insert,1,0.054,0,1
venture-LinkedList,insert,1,0.054,0,1
venture-LinkedList,insert,1,0.049,0,1
venture-LinkedList,insert,1,0.057,0,1
venture-LinkedList,insert,1,0.051,0,1
venture-LinkedList,insert,1,0.056,0,1
venture-LinkedList,insert,1,0.054,0,1
venture-LinkedList,insert,1,0.051,0,1
venture-LinkedList,insert,1,0.054,0,1
venture-LinkedList,insert,1,0.056,0,1
venture-LinkedList,insert,1,0.246,0,1
venture-LinkedList,insert,1,0.136,0,1
venture-LinkedList,insert,1,0.126,0,1
venture-LinkedList,insert,1,0.121,0,1
venture-LinkedList,insert,1,0.078,0,1
venture-LinkedList,insert,1,0.057,0,1
venture-LinkedList,insert,1,0.052,0,1
venture-LinkedList,insert,1,0.049,0,1
venture-LinkedList,insert,1,0.05,0,1
venture-LinkedList,insert,1,0.052,0,1
venture-LinkedList,insert,1,0.053,0,1
venture-LinkedList,insert,1,0.052,0,1
venture-LinkedList,insert,1,0.054,0,1
venture-LinkedList,insert,1,0.052,0,1
venture-LinkedList,insert,1,0.052,0,1
venture-LinkedList,insert,1,0.055,0,1
venture-LinkedList,insert,1,0.054,0,1
venture-LinkedList,insert,1,0.053,0,1
venture-LinkedList,insert,1,0.071,0,1
venture-LinkedList,insert,1,0.052,0,1
venture-LinkedList,insert,1,0.052,0,1
venture-LinkedList,insert,1,0.051,0,1
venture-LinkedList,insert,1,0.051,0,1
venture-LinkedList,insert,1,0.054,0,1
venture-LinkedList,insert,1,0.05,0,1
venture-LinkedList,insert,1,0.051,0,1
venture-LinkedList,insert,1,0.055,0,1
venture-LinkedList,insert,1,0.051,0,1
venture-LinkedList,insert,1,0.049,0,1
venture-LinkedList,insert,1,0.058,0,1
venture-LinkedList,insert,1,0.056,0,1
venture-LinkedList,insert,1,0.055,0,1
venture-LinkedList,insert,1,0.053,0,1
venture-LinkedList,insert,1,0.056,0,1
venture-LinkedList,insert,1,0.056,0,1
venture-LinkedList,insert,1,0.056,0,1
venture-LinkedList,insert,1,0.06,0,1
venture-LinkedList,insert,1,0.241,0,1
venture-LinkedList,insert,1,0.126,0,1
venture-LinkedList,insert,1,0.11,0,1
venture-LinkedList,insert,1,0.123,0,1
venture-LinkedList,insert,1,0.094,0,1
venture-LinkedList,insert,1,0.102,0,1
venture-LinkedList,insert,1,0.078,0,1
venture-LinkedList,insert,1,0.081,0,1
venture-LinkedList,insert,1,0.081,0,1
venture-LinkedList,insert,1,0.053,0,1
venture-LinkedList,insert,1,0.052,0,1
venture-LinkedList,insert,1,0.169,0,1
venture-LinkedList,insert,1,0.126,0,1
venture-LinkedList,insert,1,0.125,0,1
venture-LinkedList,insert,1,0.114,0,1
venture-LinkedList,insert,1,0.098,0,1
venture-LinkedList,insert,1,0.102,0,1
venture-LinkedList,insert,1,0.076,0,1
venture-LinkedList,insert,1,0.082,0,1
venture-LinkedList,insert,1,0.053,0,1
venture-LinkedList,insert,1,0.056,0,1
venture-LinkedList,insert,1,0.049,0,1
venture-LinkedList,insert,1,0.38,0,1
venture-LinkedList,insert,1,0.128,0,1
venture-LinkedList,insert,1,0.125,0,1
venture-LinkedList,insert,1,0.128,0,1
venture-LinkedList,insert,1,0.101,0,1
venture-LinkedList,insert,1,0.094,0,1
venture-LinkedList,insert,1,0.236,0,1
