Barco,operacion,iteraciones, tiempo,daño, complexity
Camel-RBTree,insert,1,0.991,0,0
Camel-RBTree,insert,1,0.595,0,1
Camel-RBTree,insert,1,0.477,0,1.58496
Camel-RBTree,insert,3,0.3,0,2
Camel-RBTree,insert,4,0.646,0,2.32193
Camel-RBTree,insert,4,0.252,0,2.58496
Camel-RBTree,insert,3,0.239,0,2.80735
Camel-RBTree,insert,2,0.191,0,3
Camel-RBTree,insert,3,0.187,0,3.16993
Camel-RBTree,insert,4,0.383,0,3.32193
Camel-RBTree,insert,4,0.2,0,3.45943
Camel-RBTree,insert,5,0.369,0,3.58496
Camel-RBTree,insert,6,0.223,0,3.70044
Camel-RBTree,insert,3,0.18,0,3.80735
Camel-RBTree,insert,6,0.199,0,3.90689
Camel-RBTree,insert,7,0.391,0,4
Camel-RBTree,insert,6,0.321,0,4.08746
Camel-RBTree,insert,7,0.27,0,4.16993
Camel-RBTree,insert,4,0.168,0,4.24793
Camel-RBTree,insert,7,0.252,0,4.32193
Camel-RBTree,insert,6,0.235,0,4.39232
Camel-RBTree,insert,4,0.192,0,4.45943
Camel-RBTree,insert,7,0.195,0,4.52356
Camel-RBTree,insert,9,0.432,0,4.58496
Camel-RBTree,insert,7,0.226,0,4.64386
Camel-RBTree,insert,5,0.193,0,4.70044
Camel-RBTree,insert,6,0.212,0,4.75489
Camel-RBTree,insert,6,0.163,0,4.80735
Camel-RBTree,insert,6,0.158,0,4.85798
Camel-RBTree,insert,5,0.122,0,4.90689
Camel-RBTree,insert,5,0.171,0,4.9542
Camel-RBTree,insert,5,0.14,0,5
Camel-RBTree,insert,7,0.422,0,5.04439
Camel-RBTree,insert,7,0.189,0,5.08746
Camel-RBTree,insert,6,0.284,0,5.12928
Camel-RBTree,insert,8,0.427,0,5.16993
Camel-RBTree,insert,6,0.197,0,5.20945
Camel-RBTree,insert,8,0.363,0,5.24793
Camel-RBTree,insert,9,0.337,0,5.2854
Camel-RBTree,insert,5,0.107,0,5.32193
Camel-RBTree,insert,8,0.314,0,5.35755
Camel-RBTree,insert,7,0.229,0,5.39232
Camel-RBTree,insert,7,0.205,0,5.42626
Camel-RBTree,insert,5,0.163,0,5.45943
Camel-RBTree,insert,7,0.166,0,5.49185
Camel-RBTree,insert,5,0.187,0,5.52356
Camel-RBTree,insert,8,0.538,0,5.55459
Camel-RBTree,insert,7,0.316,0,5.58496
Camel-RBTree,insert,5,0.21,0,5.61471
Camel-RBTree,insert,7,0.268,0,5.64386
Camel-RBTree,insert,5,0.214,0,5.67243
Camel-RBTree,insert,5,0.198,0,5.70044
Camel-RBTree,insert,8,0.22,0,5.72792
Camel-RBTree,insert,7,0.233,0,5.75489
Camel-RBTree,insert,8,0.253,0,5.78136
Camel-RBTree,insert,7,0.292,0,5.80735
Camel-RBTree,insert,7,0.223,0,5.83289
Camel-RBTree,insert,6,0.26,0,5.85798
Camel-RBTree,insert,5,0.169,0,5.88264
Camel-RBTree,insert,8,0.232,0,5.90689
Camel-RBTree,insert,5,0.175,0,5.93074
Camel-RBTree,insert,8,0.307,0,5.9542
Camel-RBTree,insert,8,0.282,0,5.97728
Camel-RBTree,insert,5,0.399,0,6
Camel-RBTree,insert,7,0.301,0,6.02237
Camel-RBTree,insert,8,0.304,0,6.04439
Camel-RBTree,insert,6,0.253,0,6.06609
Camel-RBTree,insert,5,0.236,0,6.08746
Camel-RBTree,insert,6,0.208,0,6.10852
Camel-RBTree,insert,7,0.266,0,6.12928
Camel-RBTree,insert,9,0.265,0,6.14975
Camel-RBTree,insert,6,0.234,0,6.16993
Camel-RBTree,insert,8,0.252,0,6.18982
Camel-RBTree,insert,5,0.226,0,6.20945
Camel-RBTree,insert,6,0.178,0,6.22882
Camel-RBTree,insert,5,0.164,0,6.24793
Camel-RBTree,insert,10,0.552,0,6.26679
Camel-RBTree,insert,8,0.408,0,6.2854
Camel-RBTree,insert,9,0.367,0,6.30378
Camel-RBTree,insert,9,0.314,0,6.32193
Camel-RBTree,insert,7,0.29,0,6.33985
Camel-RBTree,insert,6,0.213,0,6.35755
Camel-RBTree,insert,6,0.185,0,6.37504
Camel-RBTree,insert,6,0.209,0,6.39232
Camel-RBTree,insert,7,0.213,0,6.40939
Camel-RBTree,insert,6,0.145,0,6.42626
Camel-RBTree,insert,9,0.399,0,6.44294
Camel-RBTree,insert,9,0.231,0,6.45943
Camel-RBTree,insert,6,0.231,0,6.47573
Camel-RBTree,insert,8,0.247,0,6.49185
Camel-RBTree,insert,11,0.306,0,6.50779
Camel-RBTree,insert,9,0.54,0,6.52356
Camel-RBTree,insert,8,0.262,0,6.53916
Camel-RBTree,insert,10,2.886,0,6.55459
Camel-RBTree,insert,6,0.194,0,6.56986
Camel-RBTree,insert,7,0.177,0,6.58496
Camel-RBTree,insert,6,0.173,0,6.59991
Camel-RBTree,insert,8,0.22,0,6.61471
Camel-RBTree,insert,6,0.393,0,6.62936
Camel-RBTree,insert,10,0.432,0,6.64386
