Barco,operacion,iteraciones, tiempo,daño, complexity
winterhlater-Splay,insert,1,2.479,0,0
winterhlater-Splay,insert,1,0.692,0,1
winterhlater-Splay,insert,2,0.533,0,1.58496
winterhlater-Splay,insert,2,0.498,0,2
winterhlater-Splay,insert,2,0.46,0,2.32193
winterhlater-Splay,insert,3,0.389,0,2.58496
winterhlater-Splay,insert,3,0.37,0,2.80735
winterhlater-Splay,insert,3,0.415,0,3
winterhlater-Splay,insert,3,0.324,0,3.16993
winterhlater-Splay,insert,3,0.405,0,3.32193
winterhlater-Splay,insert,3,0.386,0,3.45943
winterhlater-Splay,insert,2,0.321,0,3.58496
winterhlater-Splay,insert,4,0.386,0,3.70044
winterhlater-Splay,insert,4,0.409,0,3.80735
winterhlater-Splay,insert,3,0.315,0,3.90689
winterhlater-Splay,insert,2,0.298,0,4
winterhlater-Splay,insert,4,0.434,0,4.08746
winterhlater-Splay,insert,4,0.451,0,4.16993
winterhlater-Splay,insert,2,9.224,0,4.24793
winterhlater-Splay,insert,3,0.452,0,4.32193
winterhlater-Splay,insert,4,0.391,0,4.39232
winterhlater-Splay,insert,3,0.39,0,4.45943
winterhlater-Splay,insert,4,0.424,0,4.52356
winterhlater-Splay,insert,3,0.351,0,4.58496
winterhlater-Splay,insert,4,0.383,0,4.64386
winterhlater-Splay,insert,4,0.406,0,4.70044
winterhlater-Splay,insert,5,0.465,0,4.75489
winterhlater-Splay,insert,4,0.919,0,4.80735
winterhlater-Splay,insert,2,0.395,0,4.85798
winterhlater-Splay,insert,6,0.49,0,4.90689
winterhlater-Splay,insert,3,0.396,0,4.9542
winterhlater-Splay,insert,5,0.673,0,5
winterhlater-Splay,insert,7,0.636,0,5.04439
winterhlater-Splay,insert,6,2.37,0,5.08746
winterhlater-Splay,insert,4,0.946,0,5.12928
winterhlater-Splay,insert,5,0.883,0,5.16993
winterhlater-Splay,insert,3,0.373,0,5.20945
winterhlater-Splay,insert,5,0.452,0,5.24793
winterhlater-Splay,insert,5,0.435,0,5.2854
winterhlater-Splay,insert,6,0.519,0,5.32193
winterhlater-Splay,insert,5,0.433,0,5.35755
winterhlater-Splay,insert,4,0.423,0,5.39232
winterhlater-Splay,insert,6,0.519,0,5.42626
winterhlater-Splay,insert,5,0.406,0,5.45943
winterhlater-Splay,insert,6,0.509,0,5.49185
winterhlater-Splay,insert,5,0.611,0,5.52356
winterhlater-Splay,insert,3,0.34,0,5.55459
winterhlater-Splay,insert,4,0.91,0,5.58496
winterhlater-Splay,insert,8,0.752,0,5.61471
winterhlater-Splay,insert,4,0.415,0,5.64386
winterhlater-Splay,insert,6,0.498,0,5.67243
winterhlater-Splay,insert,3,0.381,0,5.70044
winterhlater-Splay,insert,2,0.323,0,5.72792
winterhlater-Splay,insert,7,0.506,0,5.75489
winterhlater-Splay,insert,7,0.589,0,5.78136
winterhlater-Splay,insert,4,0.41,0,5.80735
winterhlater-Splay,insert,5,6.57,0,5.83289
winterhlater-Splay,insert,3,1.266,0,5.85798
winterhlater-Splay,insert,5,0.481,0,5.88264
winterhlater-Splay,insert,9,0.748,0,5.90689
winterhlater-Splay,insert,5,1.219,0,5.93074
winterhlater-Splay,insert,4,0.487,0,5.9542
winterhlater-Splay,insert,4,0.475,0,5.97728
winterhlater-Splay,insert,7,0.666,0,6
winterhlater-Splay,insert,3,0.382,0,6.02237
winterhlater-Splay,insert,5,0.526,0,6.04439
winterhlater-Splay,insert,7,1.967,0,6.06609
winterhlater-Splay,insert,4,0.603,0,6.08746
winterhlater-Splay,insert,4,0.736,0,6.10852
winterhlater-Splay,insert,5,0.528,0,6.12928
winterhlater-Splay,insert,6,0.548,0,6.14975
winterhlater-Splay,insert,3,0.354,0,6.16993
winterhlater-Splay,insert,4,0.446,0,6.18982
winterhlater-Splay,insert,6,0.558,0,6.20945
winterhlater-Splay,insert,3,0.353,0,6.22882
winterhlater-Splay,insert,6,0.48,0,6.24793
winterhlater-Splay,insert,8,0.87,0,6.26679
winterhlater-Splay,insert,5,0.641,0,6.2854
winterhlater-Splay,insert,5,0.411,0,6.30378
winterhlater-Splay,insert,6,0.437,0,6.32193
winterhlater-Splay,insert,6,0.46,0,6.33985
winterhlater-Splay,insert,3,0.347,0,6.35755
winterhlater-Splay,insert,6,0.571,0,6.37504
winterhlater-Splay,insert,9,0.868,0,6.39232
winterhlater-Splay,insert,5,0.374,0,6.40939
winterhlater-Splay,insert,7,0.513,0,6.42626
winterhlater-Splay,insert,8,0.651,0,6.44294
winterhlater-Splay,insert,6,0.481,0,6.45943
winterhlater-Splay,insert,5,0.904,0,6.47573
winterhlater-Splay,insert,6,0.851,0,6.49185
winterhlater-Splay,insert,4,0.591,0,6.50779
winterhlater-Splay,insert,3,0.599,0,6.52356
winterhlater-Splay,insert,6,0.737,0,6.53916
winterhlater-Splay,insert,12,0.602,0,6.55459
winterhlater-Splay,insert,6,0.801,0,6.56986
winterhlater-Splay,insert,4,0.352,0,6.58496
winterhlater-Splay,insert,7,0.521,0,6.59991
winterhlater-Splay,insert,5,0.391,0,6.61471
winterhlater-Splay,insert,5,0.669,0,6.62936
winterhlater-Splay,insert,7,0.498,0,6.64386
