Barco,operacion,iteraciones, tiempo,daño, complexity
typhon-Array,search,5,0.17,20,6.64386
typhon-Array,search,4,0.159,25,6.64386
typhon-Array,search,7,0.19,14,6.64386
typhon-Array,search,6,0.139,16,6.64386
typhon-Array,search,5,0.116,20,6.64386
typhon-Array,search,4,0.168,25,6.64386
typhon-Array,search,6,0.213,16,6.64386
typhon-Array,search,4,0.131,25,6.64386
typhon-Array,search,4,0.145,25,6.64386
typhon-Array,search,3,0.085,33,6.64386
typhon-Array,search,7,0.193,14,6.64386
typhon-Array,search,7,0.211,14,6.64386
typhon-Array,search,7,0.184,14,6.64386
typhon-Array,search,6,0.186,16,6.64386
typhon-Array,search,3,0.105,33,6.64386
typhon-Array,search,7,0.149,14,6.64386
typhon-Array,search,7,0.171,14,6.64386
typhon-Array,search,7,0.131,14,6.64386
typhon-Array,search,5,0.161,20,6.64386
typhon-Array,search,7,0.217,14,6.64386
typhon-Array,search,7,0.182,14,6.64386
typhon-Array,search,7,0.166,14,6.64386
typhon-Array,search,5,0.166,20,6.64386
typhon-Array,search,6,0.189,16,6.64386
typhon-Array,search,6,0.13,16,6.64386
typhon-Array,search,7,0.231,14,6.64386
typhon-Array,search,6,0.173,16,6.64386
typhon-Array,search,7,0.11,14,6.64386
typhon-Array,search,2,0.073,50,6.64386
typhon-Array,search,7,0.226,14,6.64386
typhon-Array,search,6,0.126,16,6.64386
typhon-Array,search,7,0.096,14,6.64386
typhon-Array,search,7,0.195,14,6.64386
typhon-Array,search,7,0.223,14,6.64386
typhon-Array,search,7,0.201,14,6.64386
typhon-Array,search,7,0.227,14,6.64386
typhon-Array,search,6,0.103,16,6.64386
typhon-Array,search,7,0.108,14,6.64386
typhon-Array,search,7,0.094,14,6.64386
typhon-Array,search,4,0.129,25,6.64386
typhon-Array,search,7,0.127,14,6.64386
typhon-Array,search,7,0.136,14,6.64386
typhon-Array,search,7,0.126,14,6.64386
typhon-Array,search,6,0.103,16,6.64386
typhon-Array,search,7,0.143,14,6.64386
typhon-Array,search,6,0.163,16,6.64386
typhon-Array,search,7,0.112,14,6.64386
typhon-Array,search,7,0.114,14,6.64386
typhon-Array,search,3,0.124,33,6.64386
typhon-Array,search,6,0.164,16,6.64386
typhon-Array,search,6,0.161,16,6.64386
typhon-Array,search,6,0.152,16,6.64386
typhon-Array,search,7,0.096,14,6.64386
typhon-Array,search,7,0.143,14,6.64386
typhon-Array,search,5,0.149,20,6.64386
typhon-Array,search,6,0.157,16,6.64386
typhon-Array,search,5,0.137,20,6.64386
typhon-Array,search,6,0.086,16,6.64386
typhon-Array,search,6,0.156,16,6.64386
typhon-Array,search,7,0.164,14,6.64386
typhon-Array,search,7,0.183,14,6.64386
typhon-Array,search,6,0.103,16,6.64386
typhon-Array,search,7,0.214,14,6.64386
typhon-Array,search,6,0.175,16,6.64386
typhon-Array,search,5,0.08,20,6.64386
typhon-Array,search,6,0.109,16,6.64386
typhon-Array,search,6,0.142,16,6.64386
typhon-Array,search,7,0.094,14,6.64386
typhon-Array,search,6,0.157,16,6.64386
typhon-Array,search,7,0.12,14,6.64386
typhon-Array,search,5,0.161,20,6.64386
typhon-Array,search,3,0.106,33,6.64386
typhon-Array,search,7,0.11,14,6.64386
typhon-Array,search,6,0.164,16,6.64386
typhon-Array,search,7,0.093,14,6.64386
typhon-Array,search,6,0.148,16,6.64386
typhon-Array,search,6,0.084,16,6.64386
typhon-Array,search,3,0.062,33,6.64386
typhon-Array,search,6,0.087,16,6.64386
typhon-Array,search,7,0.175,14,6.64386
typhon-Array,search,6,0.169,16,6.64386
typhon-Array,search,6,0.087,16,6.64386
typhon-Array,search,6,0.14,16,6.64386
typhon-Array,search,6,0.085,16,6.64386
typhon-Array,search,6,0.085,16,6.64386
typhon-Array,search,6,0.149,16,6.64386
typhon-Array,search,5,0.077,20,6.64386
typhon-Array,search,7,0.18,14,6.64386
typhon-Array,search,6,0.121,16,6.64386
typhon-Array,search,7,0.219,14,6.64386
typhon-Array,search,6,0.103,16,6.64386
typhon-Array,search,7,0.178,14,6.64386
typhon-Array,search,7,0.183,14,6.64386
typhon-Array,search,5,0.137,20,6.64386
typhon-Array,search,6,0.145,16,6.64386
typhon-Array,search,5,0.204,20,6.64386
typhon-Array,search,6,0.088,16,6.64386
typhon-Array,search,6,0.121,16,6.64386
typhon-Array,search,5,0.149,20,6.64386
typhon-Array,search,7,0.156,14,6.64386
