Barco,operacion,iteraciones, tiempo,daño, complexity
Remora-BTree,search,4,0.334,25,4.19181
Remora-BTree,search,3,0.12,33,4.19181
Remora-BTree,search,3,0.197,33,4.19181
Remora-BTree,search,4,0.225,25,4.19181
Remora-BTree,search,3,0.094,33,4.19181
Remora-BTree,search,2,0.098,50,4.19181
Remora-BTree,search,4,0.146,25,4.19181
Remora-BTree,search,4,0.063,25,4.19181
Remora-BTree,search,4,0.194,25,4.19181
Remora-BTree,search,4,0.168,25,4.19181
Remora-BTree,search,4,0.126,25,4.19181
Remora-BTree,search,4,0.17,25,4.19181
Remora-BTree,search,4,0.096,25,4.19181
Remora-BTree,search,4,0.124,25,4.19181
Remora-BTree,search,1,0.083,100,4.19181
Remora-BTree,search,4,0.193,25,4.19181
Remora-BTree,search,4,0.143,25,4.19181
Remora-BTree,search,4,0.143,25,4.19181
Remora-BTree,search,4,0.122,25,4.19181
Remora-BTree,search,4,0.196,25,4.19181
Remora-BTree,search,4,0.177,25,4.19181
Remora-BTree,search,3,0.143,33,4.19181
Remora-BTree,search,4,0.162,25,4.19181
Remora-BTree,search,2,0.067,50,4.19181
Remora-BTree,search,4,0.178,25,4.19181
Remora-BTree,search,4,0.179,25,4.19181
Remora-BTree,search,4,0.198,25,4.19181
Remora-BTree,search,4,0.085,25,4.19181
Remora-BTree,search,3,0.126,33,4.19181
Remora-BTree,search,4,0.115,25,4.19181
Remora-BTree,search,3,0.193,33,4.19181
Remora-BTree,search,4,0.122,25,4.19181
Remora-BTree,search,4,0.157,25,4.19181
Remora-BTree,search,4,0.191,25,4.19181
Remora-BTree,search,3,0.062,33,4.19181
Remora-BTree,search,4,0.146,25,4.19181
Remora-BTree,search,4,0.204,25,4.19181
Remora-BTree,search,4,0.161,25,4.19181
Remora-BTree,search,4,0.088,25,4.19181
Remora-BTree,search,4,0.177,25,4.19181
Remora-BTree,search,4,0.221,25,4.19181
Remora-BTree,search,3,0.1,33,4.19181
Remora-BTree,search,3,0.117,33,4.19181
Remora-BTree,search,1,0.06,100,4.19181
Remora-BTree,search,4,0.101,25,4.19181
Remora-BTree,search,3,0.081,33,4.19181
Remora-BTree,search,4,0.187,25,4.19181
Remora-BTree,search,3,0.177,33,4.19181
Remora-BTree,search,3,0.077,33,4.19181
Remora-BTree,search,4,0.142,25,4.19181
Remora-BTree,search,4,0.137,25,4.19181
Remora-BTree,search,4,0.178,25,4.19181
Remora-BTree,search,4,0.063,25,4.19181
Remora-BTree,search,4,0.144,25,4.19181
Remora-BTree,search,4,0.186,25,4.19181
Remora-BTree,search,4,0.14,25,4.19181
Remora-BTree,search,3,0.116,33,4.19181
Remora-BTree,search,4,0.148,25,4.19181
Remora-BTree,search,4,0.08,25,4.19181
Remora-BTree,search,3,0.055,33,4.19181
Remora-BTree,search,4,0.114,25,4.19181
Remora-BTree,search,4,0.131,25,4.19181
Remora-BTree,search,3,0.094,33,4.19181
Remora-BTree,search,4,0.093,25,4.19181
Remora-BTree,search,3,0.063,33,4.19181
Remora-BTree,search,4,0.092,25,4.19181
Remora-BTree,search,4,0.067,25,4.19181
Remora-BTree,search,3,0.127,33,4.19181
Remora-BTree,search,4,0.183,25,4.19181
Remora-BTree,search,4,0.077,25,4.19181
Remora-BTree,search,4,0.156,25,4.19181
Remora-BTree,search,3,0.144,33,4.19181
Remora-BTree,search,4,0.127,25,4.19181
Remora-BTree,search,4,0.093,25,4.19181
Remora-BTree,search,3,0.169,33,4.19181
Remora-BTree,search,2,0.093,50,4.19181
Remora-BTree,search,4,0.143,25,4.19181
Remora-BTree,search,4,0.154,25,4.19181
Remora-BTree,search,4,0.178,25,4.19181
Remora-BTree,search,4,0.135,25,4.19181
Remora-BTree,search,3,0.107,33,4.19181
Remora-BTree,search,2,0.117,50,4.19181
Remora-BTree,search,4,0.13,25,4.19181
Remora-BTree,search,4,0.19,25,4.19181
Remora-BTree,search,4,0.163,25,4.19181
Remora-BTree,search,4,0.09,25,4.19181
Remora-BTree,search,4,0.138,25,4.19181
Remora-BTree,search,4,0.185,25,4.19181
Remora-BTree,search,3,0.098,33,4.19181
Remora-BTree,search,4,0.119,25,4.19181
Remora-BTree,search,4,0.164,25,4.19181
Remora-BTree,search,4,0.07,25,4.19181
Remora-BTree,search,4,0.073,25,4.19181
Remora-BTree,search,3,0.124,33,4.19181
Remora-BTree,search,4,0.144,25,4.19181
Remora-BTree,search,4,0.109,25,4.19181
Remora-BTree,search,4,0.129,25,4.19181
Remora-BTree,search,4,0.157,25,4.19181
Remora-BTree,search,4,0.127,25,4.19181
Remora-BTree,search,2,0.067,50,4.19181
