Barco,operacion,iteraciones, tiempo,daño, complexity
venture-LinkedList,search,13,0.214,7,100
venture-LinkedList,search,28,0.228,3,100
venture-LinkedList,search,53,0.287,1,100
venture-LinkedList,search,11,0.11,9,100
venture-LinkedList,search,95,0.408,1,100
venture-LinkedList,search,87,0.45,1,100
venture-LinkedList,search,35,0.209,2,100
venture-LinkedList,search,26,0.172,3,100
venture-LinkedList,search,60,0.324,1,100
venture-LinkedList,search,50,0.294,2,100
venture-LinkedList,search,1,0.053,100,100
venture-LinkedList,search,7,0.082,14,100
venture-LinkedList,search,33,0.213,3,100
venture-LinkedList,search,12,0.116,8,100
venture-LinkedList,search,98,0.366,1,100
venture-LinkedList,search,47,0.27,2,100
venture-LinkedList,search,57,0.339,1,100
venture-LinkedList,search,2,0.059,50,100
venture-LinkedList,search,75,0.376,1,100
venture-LinkedList,search,62,0.328,1,100
venture-LinkedList,search,57,0.302,1,100
venture-LinkedList,search,69,0.355,1,100
venture-LinkedList,search,70,0.364,1,100
venture-LinkedList,search,39,0.223,2,100
venture-LinkedList,search,22,0.17,4,100
venture-LinkedList,search,68,0.353,1,100
venture-LinkedList,search,17,0.134,5,100
venture-LinkedList,search,93,0.411,1,100
venture-LinkedList,search,44,0.263,2,100
venture-LinkedList,search,16,0.12,6,100
venture-LinkedList,search,57,0.32,1,100
venture-LinkedList,search,51,0.286,1,100
venture-LinkedList,search,45,0.29,2,100
venture-LinkedList,search,78,0.378,1,100
venture-LinkedList,search,47,0.285,2,100
venture-LinkedList,search,77,0.422,1,100
venture-LinkedList,search,80,0.425,1,100
venture-LinkedList,search,3,0.083,33,100
venture-LinkedList,search,46,0.277,2,100
venture-LinkedList,search,2,0.076,50,100
venture-LinkedList,search,65,0.363,1,100
venture-LinkedList,search,19,0.134,5,100
venture-LinkedList,search,59,0.319,1,100
venture-LinkedList,search,59,0.312,1,100
venture-LinkedList,search,46,0.261,2,100
venture-LinkedList,search,79,0.419,1,100
venture-LinkedList,search,13,0.089,7,100
venture-LinkedList,search,64,0.353,1,100
venture-LinkedList,search,81,0.411,1,100
venture-LinkedList,search,63,0.331,1,100
venture-LinkedList,search,52,0.283,1,100
venture-LinkedList,search,44,0.332,2,100
venture-LinkedList,search,67,0.382,1,100
venture-LinkedList,search,88,0.493,1,100
venture-LinkedList,search,71,0.411,1,100
venture-LinkedList,search,43,0.269,2,100
venture-LinkedList,search,51,0.295,1,100
venture-LinkedList,search,71,0.38,1,100
venture-LinkedList,search,61,0.311,1,100
venture-LinkedList,search,68,0.351,1,100
venture-LinkedList,search,79,0.384,1,100
venture-LinkedList,search,21,0.157,4,100
venture-LinkedList,search,50,0.272,2,100
venture-LinkedList,search,97,0.495,1,100
venture-LinkedList,search,92,0.404,1,100
venture-LinkedList,search,1,0.08,100,100
venture-LinkedList,search,70,0.377,1,100
venture-LinkedList,search,37,0.215,2,100
venture-LinkedList,search,10,0.124,10,100
venture-LinkedList,search,2,0.062,50,100
venture-LinkedList,search,83,0.941,1,100
venture-LinkedList,search,81,0.493,1,100
venture-LinkedList,search,33,0.226,3,100
venture-LinkedList,search,11,0.078,9,100
venture-LinkedList,search,60,0.353,1,100
venture-LinkedList,search,32,0.193,3,100
venture-LinkedList,search,7,0.064,14,100
venture-LinkedList,search,62,0.347,1,100
venture-LinkedList,search,45,0.277,2,100
venture-LinkedList,search,45,0.249,2,100
venture-LinkedList,search,19,0.135,5,100
venture-LinkedList,search,100,0.451,1,100
venture-LinkedList,search,1,0.058,100,100
venture-LinkedList,search,25,0.188,4,100
venture-LinkedList,search,21,0.125,4,100
venture-LinkedList,search,26,0.163,3,100
venture-LinkedList,search,30,0.185,3,100
venture-LinkedList,search,36,0.228,2,100
venture-LinkedList,search,49,0.295,2,100
venture-LinkedList,search,61,0.334,1,100
venture-LinkedList,search,56,0.311,1,100
venture-LinkedList,search,24,0.169,4,100
venture-LinkedList,search,34,0.205,2,100
venture-LinkedList,search,23,0.167,4,100
venture-LinkedList,search,4,0.082,25,100
venture-LinkedList,search,99,0.439,1,100
venture-LinkedList,search,92,0.44,1,100
venture-LinkedList,search,31,0.206,3,100
venture-LinkedList,search,25,0.162,4,100
venture-LinkedList,search,2,0.048,50,100
