Barco,operacion,iteraciones, tiempo,daño, complexity
typhon-Array,delete,1539,5.293,0,10012.3
typhon-Array,delete,220,1.138,0,10011.3
typhon-Array,delete,2852,7.56,0,10010.3
typhon-Array,delete,4082,10.626,0,10009.3
typhon-Array,delete,5898,15.293,0,10008.3
typhon-Array,delete,4941,12.712,0,10007.3
typhon-Array,delete,71,0.585,0,10006.3
typhon-Array,delete,9219,23.348,0,10005.3
typhon-Array,delete,98,0.735,0,10004.3
typhon-Array,delete,4751,12.087,0,10003.3
typhon-Array,delete,7347,18.814,0,10002.3
typhon-Array,delete,4590,13.287,0,10001.3
typhon-Array,delete,1791,4.933,0,10000.3
typhon-Array,delete,5859,14.908,0,9999.29
typhon-Array,delete,8667,21.934,0,9998.29
typhon-Array,delete,3745,9.734,0,9997.29
typhon-Array,delete,7830,19.829,0,9996.29
typhon-Array,delete,6303,16.073,0,9995.29
typhon-Array,delete,7254,18.395,0,9994.28
typhon-Array,delete,331,1.368,0,9993.28
typhon-Array,delete,9159,23.128,0,9992.28
typhon-Array,delete,4727,12.112,0,9991.28
typhon-Array,delete,3587,9.386,0,9990.28
typhon-Array,delete,6563,16.96,0,9989.28
typhon-Array,delete,5242,13.434,0,9988.28
typhon-Array,delete,8297,20.979,0,9987.28
typhon-Array,delete,5256,14.327,0,9986.28
typhon-Array,delete,9633,24.427,0,9985.28
typhon-Array,delete,1751,4.805,0,9984.28
typhon-Array,delete,4042,10.474,0,9983.28
typhon-Array,delete,3512,9.401,0,9982.28
typhon-Array,delete,4576,12.367,0,9981.28
typhon-Array,delete,297,1.242,0,9980.28
typhon-Array,delete,3954,9.79,0,9979.28
typhon-Array,delete,7551,18.44,0,9978.28
typhon-Array,delete,5046,12.401,0,9977.28
typhon-Array,delete,1524,3.988,0,9976.28
typhon-Array,delete,2005,6.169,0,9975.28
typhon-Array,delete,3601,8.91,0,9974.28
typhon-Array,delete,5283,13.015,0,9973.28
typhon-Array,delete,4473,11.142,0,9972.28
typhon-Array,delete,2127,5.363,0,9971.28
typhon-Array,delete,6989,17.135,0,9970.28
typhon-Array,delete,9006,21.917,0,9969.28
typhon-Array,delete,102,0.583,0,9968.28
typhon-Array,delete,7876,19.418,0,9967.28
typhon-Array,delete,401,1.53,0,9966.28
typhon-Array,delete,4030,9.891,0,9965.28
typhon-Array,delete,4633,11.347,0,9964.28
typhon-Array,delete,9364,23.029,0,9963.28
typhon-Array,delete,3929,11.745,0,9962.28
typhon-Array,delete,4706,127.729,0,9961.28
typhon-Array,delete,6078,15.083,0,9960.28
typhon-Array,delete,2434,6.857,0,9959.28
typhon-Array,delete,4749,11.706,0,9958.28
typhon-Array,delete,3301,8.202,0,9957.28
typhon-Array,delete,9008,21.909,0,9956.28
typhon-Array,delete,2040,5.262,0,9955.28
typhon-Array,delete,7136,17.373,0,9954.28
typhon-Array,delete,2734,8.335,0,9953.28
typhon-Array,delete,8627,20.932,0,9952.28
typhon-Array,delete,527,1.633,0,9951.28
typhon-Array,delete,8702,21.191,0,9950.28
typhon-Array,delete,4921,12.09,0,9949.28
typhon-Array,delete,2763,8.223,0,9948.28
typhon-Array,delete,3714,10.222,0,9947.28
typhon-Array,delete,7123,17.346,0,9946.28
typhon-Array,delete,9628,23.448,0,9945.28
typhon-Array,delete,4122,10.386,0,9944.28
typhon-Array,delete,4975,12.322,0,9943.28
typhon-Array,delete,2511,6.314,0,9942.28
typhon-Array,delete,5006,13.151,0,9941.28
typhon-Array,delete,6359,18.796,0,9940.28
typhon-Array,delete,253,1.122,0,9939.28
typhon-Array,delete,6308,15.711,0,9938.28
typhon-Array,delete,6604,19.034,0,9937.28
typhon-Array,delete,2545,6.373,0,9936.28
typhon-Array,delete,6596,19.566,0,9935.28
typhon-Array,delete,5341,13.149,0,9934.28
typhon-Array,delete,1018,2.937,0,9933.28
typhon-Array,delete,4947,12.182,0,9932.28
typhon-Array,delete,9678,23.617,0,9931.28
typhon-Array,delete,7161,17.455,0,9930.28
typhon-Array,delete,737,2.21,0,9929.28
typhon-Array,delete,3657,9.087,0,9928.28
typhon-Array,delete,5934,14.565,0,9927.28
typhon-Array,delete,727,2.469,0,9926.28
typhon-Array,delete,6904,16.912,0,9925.27
typhon-Array,delete,2925,8.799,0,9924.27
typhon-Array,delete,8102,19.814,0,9923.27
typhon-Array,delete,4299,11.298,0,9922.27
typhon-Array,delete,1410,3.819,0,9921.27
typhon-Array,delete,9600,23.572,0,9920.27
typhon-Array,delete,1073,3.359,0,9919.27
typhon-Array,delete,3596,15.518,0,9918.27
typhon-Array,delete,4039,14.767,0,9917.27
typhon-Array,delete,6613,26.359,0,9916.27
typhon-Array,delete,1816,6.984,0,9915.27
typhon-Array,delete,3874,15.229,0,9914.27
typhon-Array,delete,8912,35.837,0,9913.27
typhon-Array,delete,5604,20.545,0,9912.27
typhon-Array,delete,1301,5.176,0,9911.27
typhon-Array,delete,5811,22.668,0,9910.27
typhon-Array,delete,1941,7.582,0,9909.27
typhon-Array,delete,9349,34.231,0,9908.27
typhon-Array,delete,8010,32.314,0,9907.27
typhon-Array,delete,8196,57.712,0,9906.27
typhon-Array,delete,8468,34.612,0,9905.27
typhon-Array,delete,4074,16.37,0,9904.27
typhon-Array,delete,2836,10.997,0,9903.27
typhon-Array,delete,2440,9.057,0,9902.27
typhon-Array,delete,4912,19.784,0,9901.27
typhon-Array,delete,5428,22.103,0,9900.27
typhon-Array,delete,4656,18.446,0,9899.27
typhon-Array,delete,4428,17.323,0,9898.27
typhon-Array,delete,4148,16.836,0,9897.27
typhon-Array,delete,6312,22.883,0,9896.27
typhon-Array,delete,3804,15.222,0,9895.27
typhon-Array,delete,2226,9.041,0,9894.27
typhon-Array,delete,1821,7.701,0,9893.27
typhon-Array,delete,8338,35.27,0,9892.27
typhon-Array,delete,8428,32.673,0,9891.27
typhon-Array,delete,6929,28.618,0,9890.27
typhon-Array,delete,5708,21.568,0,9889.27
typhon-Array,delete,4331,18.371,0,9888.27
typhon-Array,delete,8586,34.773,0,9887.27
typhon-Array,delete,6309,25.089,0,9886.27
typhon-Array,delete,5569,20.133,0,9885.27
typhon-Array,delete,5820,24.951,0,9884.27
typhon-Array,delete,68,0.711,0,9883.27
typhon-Array,delete,338,1.762,0,9882.27
typhon-Array,delete,9131,37.522,0,9881.27
typhon-Array,delete,4743,19.898,0,9880.27
typhon-Array,delete,3930,16.632,0,9879.27
typhon-Array,delete,220,1.375,0,9878.27
typhon-Array,delete,4933,20.508,0,9877.27
typhon-Array,delete,8695,35.658,0,9876.27
typhon-Array,delete,9364,37.184,0,9875.27
