Barco,operacion,iteraciones, tiempo,daño, complexity
venture-LinkedList,delete,3242,10.206,0,10000
venture-LinkedList,delete,3054,8.547,0,9999
venture-LinkedList,delete,7140,20.302,0,9998
venture-LinkedList,delete,5976,16.465,0,9997
venture-LinkedList,delete,9307,25.531,0,9996
venture-LinkedList,delete,2671,7.618,0,9995
venture-LinkedList,delete,5697,16.405,0,9994
venture-LinkedList,delete,9875,27.297,0,9993
venture-LinkedList,delete,245,1.38,0,9992
venture-LinkedList,delete,7300,20.176,0,9991
venture-LinkedList,delete,1293,4.854,0,9990
venture-LinkedList,delete,504,1.645,0,9989
venture-LinkedList,delete,4456,12.809,0,9988
venture-LinkedList,delete,2020,5.723,0,9987
venture-LinkedList,delete,5426,14.808,0,9986
venture-LinkedList,delete,5733,16.032,0,9985
venture-LinkedList,delete,6278,18.132,0,9984
venture-LinkedList,delete,9664,27.569,0,9983
venture-LinkedList,delete,4495,13.181,0,9982
venture-LinkedList,delete,8189,23.613,0,9981
venture-LinkedList,delete,60,0.396,0,9980
venture-LinkedList,delete,650,2.44,0,9979
venture-LinkedList,delete,4835,13.938,0,9978
venture-LinkedList,delete,9368,25.77,0,9977
venture-LinkedList,delete,676,3.342,0,9976
venture-LinkedList,delete,2787,8.32,0,9975
venture-LinkedList,delete,3737,10.364,0,9974
venture-LinkedList,delete,8786,23.702,0,9973
venture-LinkedList,delete,4606,13.422,0,9972
venture-LinkedList,delete,6023,16.676,0,9971
venture-LinkedList,delete,6680,19.101,0,9970
venture-LinkedList,delete,3413,9.822,0,9969
venture-LinkedList,delete,5293,15.082,0,9968
venture-LinkedList,delete,4008,11.181,0,9967
venture-LinkedList,delete,2592,7.4,0,9966
venture-LinkedList,delete,9257,25.297,0,9965
venture-LinkedList,delete,3334,9.361,0,9964
venture-LinkedList,delete,8984,27.909,0,9963
venture-LinkedList,delete,2249,7.263,0,9962
venture-LinkedList,delete,9045,25.355,0,9961
venture-LinkedList,delete,865,3.251,0,9960
venture-LinkedList,delete,9705,28.986,0,9959
venture-LinkedList,delete,9349,25.964,0,9958
venture-LinkedList,delete,7981,22.037,0,9957
venture-LinkedList,delete,6090,16.876,0,9956
venture-LinkedList,delete,7556,20.606,0,9955
venture-LinkedList,delete,6326,17.603,0,9954
venture-LinkedList,delete,7951,21.723,0,9953
venture-LinkedList,delete,1014,3.302,0,9952
venture-LinkedList,delete,5352,15.243,0,9951
venture-LinkedList,delete,3731,10.676,0,9950
venture-LinkedList,delete,2166,6.496,0,9949
venture-LinkedList,delete,4738,13.422,0,9948
venture-LinkedList,delete,1325,4.174,0,9947
venture-LinkedList,delete,5593,16.23,0,9946
venture-LinkedList,delete,4040,11.817,0,9945
venture-LinkedList,delete,4760,13.507,0,9944
venture-LinkedList,delete,5555,16.004,0,9943
venture-LinkedList,delete,2004,5.988,0,9942
venture-LinkedList,delete,2648,7.638,0,9941
venture-LinkedList,delete,1652,4.94,0,9940
venture-LinkedList,delete,403,1.574,0,9939
venture-LinkedList,delete,8939,25.384,0,9938
venture-LinkedList,delete,5061,14.494,0,9937
venture-LinkedList,delete,1390,4.487,0,9936
venture-LinkedList,delete,3589,11.382,0,9935
venture-LinkedList,delete,5345,15.472,0,9934
venture-LinkedList,delete,7431,21.312,0,9933
venture-LinkedList,delete,9829,28.387,0,9932
venture-LinkedList,delete,9315,26.876,0,9931
venture-LinkedList,delete,7929,22.903,0,9930
venture-LinkedList,delete,5205,18.071,0,9929
venture-LinkedList,delete,4648,14.534,0,9928
venture-LinkedList,delete,3521,12.267,0,9927
venture-LinkedList,delete,5568,16.159,0,9926
venture-LinkedList,delete,9305,26.48,0,9925
venture-LinkedList,delete,8924,25.77,0,9924
venture-LinkedList,delete,7493,21.036,0,9923
venture-LinkedList,delete,1169,3.922,0,9922
venture-LinkedList,delete,2814,8.258,0,9921
venture-LinkedList,delete,2570,7.478,0,9920
venture-LinkedList,delete,8140,22.76,0,9919
venture-LinkedList,delete,9847,28.092,0,9918
venture-LinkedList,delete,9502,27.025,0,9917
venture-LinkedList,delete,3496,10.209,0,9916
venture-LinkedList,delete,9289,30.684,0,9915
venture-LinkedList,delete,4169,13.793,0,9914
venture-LinkedList,delete,5100,17.189,0,9913
venture-LinkedList,delete,5198,17.377,0,9912
venture-LinkedList,delete,8495,28.081,0,9911
venture-LinkedList,delete,7842,23.118,0,9910
venture-LinkedList,delete,5640,17.834,0,9909
venture-LinkedList,delete,5983,26.097,0,9908
venture-LinkedList,delete,860,3.016,0,9907
venture-LinkedList,delete,6528,20.425,0,9906
venture-LinkedList,delete,8298,25.909,0,9905
venture-LinkedList,delete,7377,21.453,0,9904
venture-LinkedList,delete,403,1.634,0,9903
venture-LinkedList,delete,6422,17.953,0,9902
venture-LinkedList,delete,2637,9.046,0,9901
venture-LinkedList,delete,3747,10.998,0,9900
venture-LinkedList,delete,458,1.947,0,9899
venture-LinkedList,delete,6349,18.493,0,9898
venture-LinkedList,delete,4291,11.887,0,9897
venture-LinkedList,delete,7634,20.916,0,9896
venture-LinkedList,delete,3540,10.517,0,9895
venture-LinkedList,delete,7254,20.628,0,9894
venture-LinkedList,delete,2307,7.068,0,9893
venture-LinkedList,delete,9801,28.215,0,9892
venture-LinkedList,delete,1048,4.315,0,9891
venture-LinkedList,delete,4339,12.443,0,9890
venture-LinkedList,delete,1200,3.734,0,9889
venture-LinkedList,delete,2544,7.511,0,9888
venture-LinkedList,delete,6606,18.574,0,9887
venture-LinkedList,delete,3486,9.787,0,9886
venture-LinkedList,delete,4134,11.961,0,9885
venture-LinkedList,delete,2728,7.983,0,9884
venture-LinkedList,delete,6673,18.924,0,9883
venture-LinkedList,delete,3653,11.259,0,9882
venture-LinkedList,delete,3655,10.15,0,9881
venture-LinkedList,delete,5608,15.564,0,9880
