Barco,operacion,iteraciones, tiempo,daño, complexity
typhon-Array,insert,0,0.239,0,1
typhon-Array,insert,1,0.198,0,3
typhon-Array,insert,3,0.147,0,4.58496
typhon-Array,insert,5,0.163,0,6
typhon-Array,insert,4,0.105,0,7.32193
typhon-Array,insert,4,0.14,0,8.58496
typhon-Array,insert,8,0.229,0,9.80735
typhon-Array,insert,8,0.091,0,11
typhon-Array,insert,5,0.105,0,12.1699
typhon-Array,insert,5,0.101,0,13.3219
typhon-Array,insert,13,0.253,0,14.4594
typhon-Array,insert,14,0.259,0,15.585
typhon-Array,insert,9,0.156,0,16.7004
typhon-Array,insert,16,0.211,0,17.8074
typhon-Array,insert,9,0.175,0,18.9069
typhon-Array,insert,10,0.194,0,20
typhon-Array,insert,6,0.198,0,21.0875
typhon-Array,insert,19,0.194,0,22.1699
typhon-Array,insert,15,0.257,0,23.2479
typhon-Array,insert,6,0.113,0,24.3219
typhon-Array,insert,17,0.28,0,25.3923
typhon-Array,insert,11,0.16,0,26.4594
typhon-Array,insert,6,0.164,0,27.5236
typhon-Array,insert,18,0.173,0,28.585
typhon-Array,insert,21,0.239,0,29.6439
typhon-Array,insert,9,0.147,0,30.7004
typhon-Array,insert,20,0.277,0,31.7549
typhon-Array,insert,26,0.301,0,32.8074
typhon-Array,insert,15,0.207,0,33.858
typhon-Array,insert,33,0.267,0,34.9069
typhon-Array,insert,22,0.215,0,35.9542
typhon-Array,insert,23,0.225,0,37
typhon-Array,insert,6,0.205,0,38.0444
typhon-Array,insert,24,0.191,0,39.0875
typhon-Array,insert,32,0.24,0,40.1293
typhon-Array,insert,34,0.24,0,41.1699
typhon-Array,insert,27,0.224,0,42.2095
typhon-Array,insert,31,0.24,0,43.2479
typhon-Array,insert,39,0.275,0,44.2854
typhon-Array,insert,38,0.291,0,45.3219
typhon-Array,insert,14,0.293,0,46.3576
typhon-Array,insert,41,0.33,0,47.3923
typhon-Array,insert,13,0.192,0,48.4263
typhon-Array,insert,35,0.273,0,49.4594
typhon-Array,insert,16,0.204,0,50.4919
typhon-Array,insert,25,0.209,0,51.5236
typhon-Array,insert,25,0.158,0,52.5546
typhon-Array,insert,37,0.249,0,53.585
typhon-Array,insert,41,0.315,0,54.6147
typhon-Array,insert,14,0.173,0,55.6439
typhon-Array,insert,42,0.332,0,56.6724
typhon-Array,insert,26,0.277,0,57.7004
typhon-Array,insert,44,0.271,0,58.7279
typhon-Array,insert,15,0.205,0,59.7549
typhon-Array,insert,23,0.309,0,60.7814
typhon-Array,insert,46,0.267,0,61.8074
typhon-Array,insert,19,0.231,0,62.8329
typhon-Array,insert,17,0.411,0,63.858
typhon-Array,insert,61,0.355,0,64.8826
typhon-Array,insert,36,0.304,0,65.9069
typhon-Array,insert,17,0.16,0,66.9307
typhon-Array,insert,59,0.323,0,67.9542
typhon-Array,insert,37,0.327,0,68.9773
typhon-Array,insert,40,0.298,0,70
typhon-Array,insert,29,0.257,0,71.0224
typhon-Array,insert,27,0.286,0,72.0444
