Barco,operacion,iteraciones, tiempo,daño, complexity
Camel-RBTree,search,14,0.456,7,13.2877
Camel-RBTree,search,12,0.247,8,13.2877
Camel-RBTree,search,15,0.283,6,13.2877
Camel-RBTree,search,10,0.187,10,13.2877
Camel-RBTree,search,14,0.29,7,13.2877
Camel-RBTree,search,15,0.308,6,13.2877
Camel-RBTree,search,15,0.327,6,13.2877
Camel-RBTree,search,15,0.302,6,13.2877
Camel-RBTree,search,16,0.318,6,13.2877
Camel-RBTree,search,13,0.255,7,13.2877
Camel-RBTree,search,14,0.301,7,13.2877
Camel-RBTree,search,14,0.294,7,13.2877
Camel-RBTree,search,14,0.27,7,13.2877
Camel-RBTree,search,14,0.325,7,13.2877
Camel-RBTree,search,14,0.27,7,13.2877
Camel-RBTree,search,13,0.313,7,13.2877
Camel-RBTree,search,11,0.209,9,13.2877
Camel-RBTree,search,15,0.297,6,13.2877
Camel-RBTree,search,10,0.341,10,13.2877
Camel-RBTree,search,9,0.241,11,13.2877
Camel-RBTree,search,12,0.236,8,13.2877
Camel-RBTree,search,15,0.194,6,13.2877
Camel-RBTree,search,15,0.323,6,13.2877
Camel-RBTree,search,14,0.272,7,13.2877
Camel-RBTree,search,15,0.328,6,13.2877
Camel-RBTree,search,10,0.205,10,13.2877
Camel-RBTree,search,9,0.2,11,13.2877
Camel-RBTree,search,14,0.316,7,13.2877
Camel-RBTree,search,15,0.318,6,13.2877
Camel-RBTree,search,14,0.263,7,13.2877
Camel-RBTree,search,11,0.257,9,13.2877
Camel-RBTree,search,10,0.149,10,13.2877
Camel-RBTree,search,15,0.293,6,13.2877
Camel-RBTree,search,14,0.327,7,13.2877
Camel-RBTree,search,13,0.258,7,13.2877
Camel-RBTree,search,12,0.305,8,13.2877
Camel-RBTree,search,16,0.381,6,13.2877
Camel-RBTree,search,12,0.285,8,13.2877
Camel-RBTree,search,12,0.274,8,13.2877
Camel-RBTree,search,13,0.31,7,13.2877
Camel-RBTree,search,11,0.222,9,13.2877
Camel-RBTree,search,13,0.279,7,13.2877
Camel-RBTree,search,11,0.294,9,13.2877
Camel-RBTree,search,12,0.25,8,13.2877
Camel-RBTree,search,10,0.204,10,13.2877
Camel-RBTree,search,15,0.322,6,13.2877
Camel-RBTree,search,11,0.276,9,13.2877
Camel-RBTree,search,11,0.265,9,13.2877
Camel-RBTree,search,12,0.274,8,13.2877
Camel-RBTree,search,13,0.286,7,13.2877
Camel-RBTree,search,14,0.249,7,13.2877
Camel-RBTree,search,14,0.252,7,13.2877
Camel-RBTree,search,16,0.325,6,13.2877
Camel-RBTree,search,15,0.327,6,13.2877
Camel-RBTree,search,14,0.556,7,13.2877
Camel-RBTree,search,15,0.316,6,13.2877
Camel-RBTree,search,14,0.301,7,13.2877
Camel-RBTree,search,13,0.29,7,13.2877
Camel-RBTree,search,13,0.452,7,13.2877
Camel-RBTree,search,14,0.325,7,13.2877
Camel-RBTree,search,13,0.258,7,13.2877
Camel-RBTree,search,16,0.292,6,13.2877
Camel-RBTree,search,13,0.284,7,13.2877
Camel-RBTree,search,13,0.286,7,13.2877
Camel-RBTree,search,13,0.299,7,13.2877
Camel-RBTree,search,10,0.419,10,13.2877
Camel-RBTree,search,15,0.346,6,13.2877
Camel-RBTree,search,15,0.334,6,13.2877
Camel-RBTree,search,8,0.286,12,13.2877
Camel-RBTree,search,11,0.267,9,13.2877
Camel-RBTree,search,12,0.174,8,13.2877
Camel-RBTree,search,11,0.245,9,13.2877
Camel-RBTree,search,15,0.375,6,13.2877
Camel-RBTree,search,15,0.313,6,13.2877
Camel-RBTree,search,13,0.338,7,13.2877
Camel-RBTree,search,10,0.21,10,13.2877
Camel-RBTree,search,14,0.299,7,13.2877
Camel-RBTree,search,12,0.21,8,13.2877
Camel-RBTree,search,14,0.332,7,13.2877
Camel-RBTree,search,8,0.201,12,13.2877
Camel-RBTree,search,14,0.313,7,13.2877
Camel-RBTree,search,14,0.468,7,13.2877
Camel-RBTree,search,12,0.303,8,13.2877
Camel-RBTree,search,12,0.251,8,13.2877
Camel-RBTree,search,11,0.205,9,13.2877
Camel-RBTree,search,13,0.227,7,13.2877
Camel-RBTree,search,12,0.304,8,13.2877
Camel-RBTree,search,14,0.25,7,13.2877
Camel-RBTree,search,14,0.27,7,13.2877
Camel-RBTree,search,14,0.26,7,13.2877
Camel-RBTree,search,14,0.392,7,13.2877
Camel-RBTree,search,11,0.199,9,13.2877
Camel-RBTree,search,13,0.236,7,13.2877
Camel-RBTree,search,13,0.324,7,13.2877
Camel-RBTree,search,12,0.919,8,13.2877
Camel-RBTree,search,13,0.476,7,13.2877
Camel-RBTree,search,13,0.295,7,13.2877
Camel-RBTree,search,14,0.332,7,13.2877
Camel-RBTree,search,12,0.308,8,13.2877
Camel-RBTree,search,14,0.277,7,13.2877
Camel-RBTree,search,13,0.254,7,13.2877
Camel-RBTree,search,12,0.239,8,13.2877
Camel-RBTree,search,13,0.493,7,13.2877
Camel-RBTree,search,15,0.383,6,13.2877
Camel-RBTree,search,15,0.504,6,13.2877
Camel-RBTree,search,14,0.315,7,13.2877
Camel-RBTree,search,11,0.263,9,13.2877
Camel-RBTree,search,15,0.475,6,13.2877
Camel-RBTree,search,15,0.337,6,13.2877
Camel-RBTree,search,15,0.386,6,13.2877
Camel-RBTree,search,14,0.296,7,13.2877
Camel-RBTree,search,14,0.297,7,13.2877
Camel-RBTree,search,10,0.256,10,13.2877
Camel-RBTree,search,14,0.289,7,13.2877
Camel-RBTree,search,13,0.305,7,13.2877
Camel-RBTree,search,13,0.282,7,13.2877
Camel-RBTree,search,7,0.211,14,13.2877
Camel-RBTree,search,10,0.236,10,13.2877
Camel-RBTree,search,15,0.297,6,13.2877
Camel-RBTree,search,14,0.288,7,13.2877
Camel-RBTree,search,13,0.294,7,13.2877
Camel-RBTree,search,14,0.268,7,13.2877
Camel-RBTree,search,11,0.355,9,13.2877
Camel-RBTree,search,15,0.286,6,13.2877
Camel-RBTree,search,15,0.297,6,13.2877
Camel-RBTree,search,11,0.197,9,13.2877
Camel-RBTree,search,13,0.264,7,13.2877
Camel-RBTree,search,14,0.285,7,13.2877
Camel-RBTree,search,13,0.451,7,13.2877
Camel-RBTree,search,13,0.375,7,13.2877
Camel-RBTree,search,13,0.215,7,13.2877
Camel-RBTree,search,14,0.258,7,13.2877
Camel-RBTree,search,13,0.259,7,13.2877
Camel-RBTree,search,12,0.458,8,13.2877
Camel-RBTree,search,12,0.234,8,13.2877
Camel-RBTree,search,12,0.232,8,13.2877
Camel-RBTree,search,12,0.277,8,13.2877
Camel-RBTree,search,14,0.249,7,13.2877
Camel-RBTree,search,14,0.324,7,13.2877
Camel-RBTree,search,10,0.269,10,13.2877
Camel-RBTree,search,10,0.398,10,13.2877
Camel-RBTree,search,10,0.25,10,13.2877
Camel-RBTree,search,12,0.336,8,13.2877
Camel-RBTree,search,13,0.286,7,13.2877
Camel-RBTree,search,13,0.24,7,13.2877
Camel-RBTree,search,14,0.267,7,13.2877
Camel-RBTree,search,13,0.253,7,13.2877
Camel-RBTree,search,15,0.277,6,13.2877
Camel-RBTree,search,13,0.243,7,13.2877
Camel-RBTree,search,14,0.278,7,13.2877
Camel-RBTree,search,13,0.233,7,13.2877
Camel-RBTree,search,14,0.271,7,13.2877
Camel-RBTree,search,12,0.28,8,13.2877
Camel-RBTree,search,12,0.297,8,13.2877
Camel-RBTree,search,13,0.272,7,13.2877
Camel-RBTree,search,13,0.248,7,13.2877
Camel-RBTree,search,10,0.2,10,13.2877
Camel-RBTree,search,10,0.467,10,13.2877
Camel-RBTree,search,11,0.222,9,13.2877
Camel-RBTree,search,12,0.268,8,13.2877
Camel-RBTree,search,13,0.237,7,13.2877
Camel-RBTree,search,14,0.296,7,13.2877
Camel-RBTree,search,15,0.322,6,13.2877
Camel-RBTree,search,14,0.266,7,13.2877
Camel-RBTree,search,15,0.37,6,13.2877
Camel-RBTree,search,11,0.259,9,13.2877
Camel-RBTree,search,14,0.255,7,13.2877
Camel-RBTree,search,14,0.311,7,13.2877
Camel-RBTree,search,14,0.328,7,13.2877
Camel-RBTree,search,14,0.258,7,13.2877
Camel-RBTree,search,14,0.27,7,13.2877
Camel-RBTree,search,13,0.291,7,13.2877
