Barco,operacion,iteraciones, tiempo,daño, complexity
winterhlater-Splay,search,16,1.019,6,13.2877
winterhlater-Splay,search,17,1.004,5,13.2877
winterhlater-Splay,search,10,0.586,10,13.2877
winterhlater-Splay,search,10,0.504,10,13.2877
winterhlater-Splay,search,13,0.692,7,13.2877
winterhlater-Splay,search,12,0.694,8,13.2877
winterhlater-Splay,search,13,0.794,7,13.2877
winterhlater-Splay,search,10,0.583,10,13.2877
winterhlater-Splay,search,12,0.757,8,13.2877
winterhlater-Splay,search,10,0.618,10,13.2877
winterhlater-Splay,search,16,0.797,6,13.2877
winterhlater-Splay,search,9,0.528,11,13.2877
winterhlater-Splay,search,13,0.562,7,13.2877
winterhlater-Splay,search,10,0.728,10,13.2877
winterhlater-Splay,search,8,0.6,12,13.2877
winterhlater-Splay,search,6,0.5,16,13.2877
winterhlater-Splay,search,11,0.676,9,13.2877
winterhlater-Splay,search,10,0.566,10,13.2877
winterhlater-Splay,search,9,0.645,11,13.2877
winterhlater-Splay,search,8,0.685,12,13.2877
winterhlater-Splay,search,8,0.541,12,13.2877
winterhlater-Splay,search,12,0.708,8,13.2877
winterhlater-Splay,search,9,1.167,11,13.2877
winterhlater-Splay,search,14,2.417,7,13.2877
winterhlater-Splay,search,7,0.748,14,13.2877
winterhlater-Splay,search,10,0.552,10,13.2877
winterhlater-Splay,search,12,1.295,8,13.2877
winterhlater-Splay,search,7,0.437,14,13.2877
winterhlater-Splay,search,12,0.78,8,13.2877
winterhlater-Splay,search,8,0.529,12,13.2877
winterhlater-Splay,search,6,0.391,16,13.2877
winterhlater-Splay,search,14,0.772,7,13.2877
winterhlater-Splay,search,11,0.563,9,13.2877
winterhlater-Splay,search,14,0.773,7,13.2877
winterhlater-Splay,search,12,0.709,8,13.2877
winterhlater-Splay,search,11,0.837,9,13.2877
winterhlater-Splay,search,11,1.252,9,13.2877
winterhlater-Splay,search,12,1.076,8,13.2877
winterhlater-Splay,search,7,0.486,14,13.2877
winterhlater-Splay,search,10,0.719,10,13.2877
winterhlater-Splay,search,5,0.272,20,13.2877
winterhlater-Splay,search,5,0.244,20,13.2877
winterhlater-Splay,search,10,0.808,10,13.2877
winterhlater-Splay,search,10,0.489,10,13.2877
winterhlater-Splay,search,8,0.516,12,13.2877
winterhlater-Splay,search,11,0.737,9,13.2877
winterhlater-Splay,search,8,0.496,12,13.2877
winterhlater-Splay,search,5,0.757,20,13.2877
winterhlater-Splay,search,7,0.454,14,13.2877
winterhlater-Splay,search,14,0.956,7,13.2877
winterhlater-Splay,search,12,0.821,8,13.2877
winterhlater-Splay,search,9,0.621,11,13.2877
winterhlater-Splay,search,7,0.426,14,13.2877
winterhlater-Splay,search,7,0.392,14,13.2877
winterhlater-Splay,search,6,0.407,16,13.2877
winterhlater-Splay,search,10,0.671,10,13.2877
winterhlater-Splay,search,11,0.809,9,13.2877
