Barco,operacion,iteraciones, tiempo,daño, complexity
typhon-Array,search,12,0.281,8,12.7731
typhon-Array,search,13,0.245,7,12.7731
typhon-Array,search,13,0.32,7,12.7731
typhon-Array,search,12,0.245,8,12.7731
typhon-Array,search,5,0.192,20,12.7731
typhon-Array,search,13,0.338,7,12.7731
typhon-Array,search,13,0.414,7,12.7731
typhon-Array,search,12,0.306,8,12.7731
typhon-Array,search,12,0.297,8,12.7731
typhon-Array,search,11,0.29,9,12.7731
typhon-Array,search,13,0.28,7,12.7731
typhon-Array,search,12,0.243,8,12.7731
typhon-Array,search,9,0.23,11,12.7731
typhon-Array,search,12,0.299,8,12.7731
typhon-Array,search,13,0.366,7,12.7731
typhon-Array,search,12,0.345,8,12.7731
typhon-Array,search,13,0.393,7,12.7731
typhon-Array,search,13,0.437,7,12.7731
typhon-Array,search,13,0.237,7,12.7731
typhon-Array,search,13,0.275,7,12.7731
typhon-Array,search,9,0.259,11,12.7731
typhon-Array,search,13,0.279,7,12.7731
typhon-Array,search,13,1.078,7,12.7731
typhon-Array,search,12,1.12,8,12.7731
typhon-Array,search,13,0.775,7,12.7731
typhon-Array,search,13,0.638,7,12.7731
typhon-Array,search,11,0.378,9,12.7731
typhon-Array,search,13,0.256,7,12.7731
typhon-Array,search,13,0.567,7,12.7731
typhon-Array,search,12,0.451,8,12.7731
typhon-Array,search,13,0.431,7,12.7731
typhon-Array,search,11,0.513,9,12.7731
typhon-Array,search,13,0.337,7,12.7731
typhon-Array,search,12,0.413,8,12.7731
typhon-Array,search,12,0.509,8,12.7731
typhon-Array,search,13,0.514,7,12.7731
typhon-Array,search,10,0.495,10,12.7731
typhon-Array,search,12,0.493,8,12.7731
typhon-Array,search,13,0.269,7,12.7731
typhon-Array,search,13,0.342,7,12.7731
typhon-Array,search,13,0.301,7,12.7731
typhon-Array,search,13,0.394,7,12.7731
typhon-Array,search,11,1.189,9,12.7731
typhon-Array,search,12,1.196,8,12.7731
typhon-Array,search,13,1.291,7,12.7731
typhon-Array,search,11,0.874,9,12.7731
typhon-Array,search,12,0.676,8,12.7731
typhon-Array,search,13,1.482,7,12.7731
typhon-Array,search,13,1.045,7,12.7731
typhon-Array,search,12,0.556,8,12.7731
typhon-Array,search,13,1.11,7,12.7731
typhon-Array,search,12,0.576,8,12.7731
typhon-Array,search,11,0.492,9,12.7731
typhon-Array,search,13,1.039,7,12.7731
typhon-Array,search,10,2.22,10,12.7731
typhon-Array,search,12,0.804,8,12.7731
typhon-Array,search,12,0.321,8,12.7731
typhon-Array,search,13,0.376,7,12.7731
typhon-Array,search,13,0.497,7,12.7731
typhon-Array,search,7,0.395,14,12.7731
typhon-Array,search,7,0.333,14,12.7731
typhon-Array,search,5,0.748,20,12.7731
typhon-Array,search,12,0.617,8,12.7731
typhon-Array,search,13,0.79,7,12.7731
typhon-Array,search,12,0.319,8,12.7731
typhon-Array,search,13,0.505,7,12.7731
typhon-Array,search,13,0.418,7,12.7731
typhon-Array,search,13,0.735,7,12.7731
typhon-Array,search,12,169.49,8,12.7731
typhon-Array,search,13,0.494,7,12.7731
typhon-Array,search,11,0.514,9,12.7731
typhon-Array,search,13,0.623,7,12.7731
typhon-Array,search,13,0.956,7,12.7731
typhon-Array,search,13,0.396,7,12.7731
typhon-Array,search,12,0.426,8,12.7731
typhon-Array,search,11,0.383,9,12.7731
typhon-Array,search,13,0.254,7,12.7731
typhon-Array,search,12,0.545,8,12.7731
typhon-Array,search,12,0.766,8,12.7731
typhon-Array,search,12,0.393,8,12.7731
typhon-Array,search,12,1.096,8,12.7731
typhon-Array,search,12,0.843,8,12.7731
typhon-Array,search,13,0.666,7,12.7731
typhon-Array,search,12,0.502,8,12.7731
typhon-Array,search,13,0.621,7,12.7731
typhon-Array,search,13,0.482,7,12.7731
typhon-Array,search,12,0.398,8,12.7731
typhon-Array,search,12,0.2,8,12.7731
typhon-Array,search,11,0.395,9,12.7731
typhon-Array,search,13,0.521,7,12.7731
typhon-Array,search,9,0.338,11,12.7731
typhon-Array,search,12,0.372,8,12.7731
typhon-Array,search,12,0.758,8,12.7731
typhon-Array,search,13,0.551,7,12.7731
typhon-Array,search,11,0.396,9,12.7731
typhon-Array,search,13,0.697,7,12.7731
typhon-Array,search,13,0.434,7,12.7731
typhon-Array,search,12,0.427,8,12.7731
typhon-Array,search,11,0.348,9,12.7731
typhon-Array,search,9,0.212,11,12.7731
typhon-Array,search,12,0.331,8,12.7731
typhon-Array,search,12,0.357,8,12.7731
typhon-Array,search,13,0.489,7,12.7731
typhon-Array,search,11,0.326,9,12.7731
typhon-Array,search,13,0.351,7,12.7731
typhon-Array,search,12,0.259,8,12.7731
typhon-Array,search,12,0.286,8,12.7731
typhon-Array,search,12,0.338,8,12.7731
typhon-Array,search,12,0.623,8,12.7731
typhon-Array,search,13,0.37,7,12.7731
typhon-Array,search,12,0.392,8,12.7731
typhon-Array,search,13,0.38,7,12.7731
typhon-Array,search,11,0.338,9,12.7731
typhon-Array,search,12,0.317,8,12.7731
typhon-Array,search,12,0.36,8,12.7731
typhon-Array,search,12,0.41,8,12.7731
typhon-Array,search,13,0.476,7,12.7731
typhon-Array,search,9,0.331,11,12.7731
typhon-Array,search,8,0.265,12,12.7731
typhon-Array,search,11,0.448,9,12.7731
typhon-Array,search,9,0.325,11,12.7731
typhon-Array,search,13,0.215,7,12.7731
typhon-Array,search,10,0.351,10,12.7731
typhon-Array,search,12,0.467,8,12.7731
typhon-Array,search,12,0.704,8,12.7731
typhon-Array,search,12,0.293,8,12.7731
typhon-Array,search,13,0.426,7,12.7731
typhon-Array,search,12,0.254,8,12.7731
typhon-Array,search,12,0.432,8,12.7731
typhon-Array,search,13,0.397,7,12.7731
typhon-Array,search,10,0.307,10,12.7731
typhon-Array,search,12,0.395,8,12.7731
typhon-Array,search,11,0.274,9,12.7731
typhon-Array,search,9,0.307,11,12.7731
typhon-Array,search,10,0.25,10,12.7731
typhon-Array,search,13,0.272,7,12.7731
typhon-Array,search,13,0.297,7,12.7731
typhon-Array,search,12,0.289,8,12.7731
typhon-Array,search,13,0.438,7,12.7731
typhon-Array,search,13,0.449,7,12.7731
typhon-Array,search,12,0.307,8,12.7731
typhon-Array,search,12,0.425,8,12.7731
typhon-Array,search,13,0.446,7,12.7731
typhon-Array,search,13,0.322,7,12.7731
typhon-Array,search,13,0.308,7,12.7731
typhon-Array,search,12,0.228,8,12.7731
typhon-Array,search,13,0.245,7,12.7731
typhon-Array,search,12,0.321,8,12.7731
typhon-Array,search,13,0.419,7,12.7731
typhon-Array,search,13,0.388,7,12.7731
typhon-Array,search,13,0.487,7,12.7731
typhon-Array,search,11,0.546,9,12.7731
typhon-Array,search,13,0.657,7,12.7731
typhon-Array,search,13,0.265,7,12.7731
typhon-Array,search,13,0.476,7,12.7731
typhon-Array,search,12,0.228,8,12.7731
typhon-Array,search,11,0.572,9,12.7731
typhon-Array,search,6,0.32,16,12.7731
typhon-Array,search,12,0.36,8,12.7731
typhon-Array,search,11,0.28,9,12.7731
typhon-Array,search,13,0.384,7,12.7731
