Barco,operacion,iteraciones, tiempo,daño, complexity
Remora-BTree,search,5,0.641,20,8.05895
Remora-BTree,search,7,0.475,14,8.05895
Remora-BTree,search,6,0.459,16,8.05895
Remora-BTree,search,4,0.456,25,8.05895
Remora-BTree,search,6,0.501,16,8.05895
Remora-BTree,search,7,0.472,14,8.05895
Remora-BTree,search,6,0.276,16,8.05895
Remora-BTree,search,4,0.252,25,8.05895
Remora-BTree,search,7,0.342,14,8.05895
Remora-BTree,search,7,0.364,14,8.05895
Remora-BTree,search,7,0.54,14,8.05895
Remora-BTree,search,6,0.394,16,8.05895
Remora-BTree,search,6,0.478,16,8.05895
Remora-BTree,search,7,0.485,14,8.05895
Remora-BTree,search,4,0.183,25,8.05895
Remora-BTree,search,7,0.349,14,8.05895
Remora-BTree,search,6,0.423,16,8.05895
Remora-BTree,search,7,0.424,14,8.05895
Remora-BTree,search,7,0.417,14,8.05895
Remora-BTree,search,7,0.448,14,8.05895
Remora-BTree,search,6,0.446,16,8.05895
Remora-BTree,search,7,0.415,14,8.05895
Remora-BTree,search,7,0.41,14,8.05895
Remora-BTree,search,6,0.303,16,8.05895
Remora-BTree,search,6,0.461,16,8.05895
Remora-BTree,search,7,0.335,14,8.05895
Remora-BTree,search,7,0.437,14,8.05895
Remora-BTree,search,7,0.438,14,8.05895
Remora-BTree,search,7,0.486,14,8.05895
Remora-BTree,search,2,0.174,50,8.05895
Remora-BTree,search,7,0.414,14,8.05895
Remora-BTree,search,7,0.532,14,8.05895
Remora-BTree,search,6,0.356,16,8.05895
Remora-BTree,search,7,0.477,14,8.05895
Remora-BTree,search,7,0.321,14,8.05895
Remora-BTree,search,7,0.364,14,8.05895
Remora-BTree,search,7,0.292,14,8.05895
Remora-BTree,search,6,0.483,16,8.05895
Remora-BTree,search,7,0.318,14,8.05895
Remora-BTree,search,7,0.313,14,8.05895
Remora-BTree,search,7,0.481,14,8.05895
Remora-BTree,search,7,0.288,14,8.05895
Remora-BTree,search,7,0.447,14,8.05895
Remora-BTree,search,7,0.38,14,8.05895
Remora-BTree,search,6,0.32,16,8.05895
Remora-BTree,search,7,0.396,14,8.05895
Remora-BTree,search,7,0.406,14,8.05895
Remora-BTree,search,7,0.392,14,8.05895
Remora-BTree,search,7,0.439,14,8.05895
Remora-BTree,search,7,0.455,14,8.05895
Remora-BTree,search,5,0.24,20,8.05895
Remora-BTree,search,7,0.38,14,8.05895
Remora-BTree,search,7,0.44,14,8.05895
Remora-BTree,search,7,0.357,14,8.05895
Remora-BTree,search,7,0.393,14,8.05895
Remora-BTree,search,7,0.359,14,8.05895
Remora-BTree,search,7,0.379,14,8.05895
Remora-BTree,search,7,0.303,14,8.05895
Remora-BTree,search,7,0.486,14,8.05895
Remora-BTree,search,6,0.319,16,8.05895
Remora-BTree,search,6,0.383,16,8.05895
Remora-BTree,search,4,0.196,25,8.05895
Remora-BTree,search,7,0.362,14,8.05895
Remora-BTree,search,7,0.585,14,8.05895
Remora-BTree,search,7,0.319,14,8.05895
Remora-BTree,search,6,0.296,16,8.05895
Remora-BTree,search,6,0.342,16,8.05895
Remora-BTree,search,5,0.237,20,8.05895
Remora-BTree,search,7,0.31,14,8.05895
Remora-BTree,search,7,0.309,14,8.05895
Remora-BTree,search,7,0.775,14,8.05895
Remora-BTree,search,6,0.39,16,8.05895
Remora-BTree,search,5,0.25,20,8.05895
