Barco,operacion,iteraciones, tiempo,daño, complexity
venture-LinkedList,search,1245,8.451,0,7000
venture-LinkedList,search,1141,6.081,0,7000
venture-LinkedList,search,3875,22.873,0,7000
venture-LinkedList,search,6940,46.251,0,7000
venture-LinkedList,search,1038,6.507,0,7000
venture-LinkedList,search,4505,26.929,0,7000
venture-LinkedList,search,4657,27.561,0,7000
venture-LinkedList,search,5684,33.835,0,7000
venture-LinkedList,search,547,3.408,0,7000
venture-LinkedList,search,6884,193.558,0,7000
venture-LinkedList,search,2421,15.06,0,7000
venture-LinkedList,search,543,2.988,0,7000
venture-LinkedList,search,6806,40.404,0,7000
venture-LinkedList,search,931,5.817,0,7000
venture-LinkedList,search,691,3.982,0,7000
venture-LinkedList,search,6737,40.523,0,7000
venture-LinkedList,search,3342,20.981,0,7000
venture-LinkedList,search,3997,23.511,0,7000
venture-LinkedList,search,4182,24.408,0,7000
venture-LinkedList,search,3832,21.011,0,7000
venture-LinkedList,search,5305,30.689,0,7000
venture-LinkedList,search,4034,23.14,0,7000
venture-LinkedList,search,1086,7.157,0,7000
venture-LinkedList,search,4450,115.152,0,7000
venture-LinkedList,search,3695,23.471,0,7000
venture-LinkedList,search,3346,18.928,0,7000
venture-LinkedList,search,5937,34.654,0,7000
venture-LinkedList,search,2618,15.99,0,7000
venture-LinkedList,search,2212,12.037,0,7000
venture-LinkedList,search,1221,6.809,0,7000
venture-LinkedList,search,4816,28.103,0,7000
venture-LinkedList,search,6515,38.495,0,7000
venture-LinkedList,search,741,4.492,0,7000
venture-LinkedList,search,3567,21.053,0,7000
venture-LinkedList,search,5324,31.36,0,7000
venture-LinkedList,search,4742,27.799,0,7000
venture-LinkedList,search,4349,25,0,7000
venture-LinkedList,search,5013,29.229,0,7000
venture-LinkedList,search,3307,19.362,0,7000
venture-LinkedList,search,3364,19.489,0,7000
venture-LinkedList,search,2364,13.252,0,7000
venture-LinkedList,search,1525,8.756,0,7000
venture-LinkedList,search,1339,7.144,0,7000
venture-LinkedList,search,5898,34.278,0,7000
venture-LinkedList,search,5869,34.558,0,7000
venture-LinkedList,search,5208,31.338,0,7000
venture-LinkedList,search,520,3.103,0,7000
venture-LinkedList,search,6953,39.158,0,7000
venture-LinkedList,search,1206,8.37,0,7000
venture-LinkedList,search,3173,18.07,0,7000
venture-LinkedList,search,5808,34.89,0,7000
venture-LinkedList,search,2658,15.713,0,7000
venture-LinkedList,search,41,0.396,2,7000
venture-LinkedList,search,979,6.12,0,7000
venture-LinkedList,search,5078,30.059,0,7000
venture-LinkedList,search,5006,29.508,0,7000
venture-LinkedList,search,1698,9.759,0,7000
venture-LinkedList,search,651,4.003,0,7000
venture-LinkedList,search,1169,6.7,0,7000
venture-LinkedList,search,660,3.892,0,7000
venture-LinkedList,search,4104,24.301,0,7000
venture-LinkedList,search,4320,24.626,0,7000
venture-LinkedList,search,3949,21.86,0,7000
venture-LinkedList,search,6981,40.697,0,7000
venture-LinkedList,search,6486,36.881,0,7000
venture-LinkedList,search,2598,15.231,0,7000
venture-LinkedList,search,2405,13.895,0,7000
venture-LinkedList,search,5157,30.032,0,7000
venture-LinkedList,search,6209,35.908,0,7000
venture-LinkedList,search,5068,67.592,0,7000
venture-LinkedList,search,4790,1122.47,0,7000
venture-LinkedList,search,1624,11.187,0,7000
venture-LinkedList,search,1547,10.249,0,7000
venture-LinkedList,search,901,4.941,0,7000
venture-LinkedList,search,2536,14.448,0,7000
venture-LinkedList,search,3192,17.788,0,7000
venture-LinkedList,search,2669,14.587,0,7000
venture-LinkedList,search,3709,20.856,0,7000
venture-LinkedList,search,1549,9.059,0,7000
venture-LinkedList,search,3993,22.752,0,7000
venture-LinkedList,search,2703,15.854,0,7000
venture-LinkedList,search,2632,14.527,0,7000
venture-LinkedList,search,512,2.961,0,7000
venture-LinkedList,search,1813,10.01,0,7000
venture-LinkedList,search,6580,37.597,0,7000
venture-LinkedList,search,3900,21.6,0,7000
venture-LinkedList,search,6290,35.132,0,7000
venture-LinkedList,search,5718,31.809,0,7000
venture-LinkedList,search,89,0.81,1,7000
venture-LinkedList,search,5929,34.857,0,7000
venture-LinkedList,search,959,5.305,0,7000
venture-LinkedList,search,6036,33.907,0,7000
venture-LinkedList,search,781,4.301,0,7000
venture-LinkedList,search,5495,30.438,0,7000
venture-LinkedList,search,4799,26.736,0,7000
venture-LinkedList,search,6574,38.177,0,7000
venture-LinkedList,search,5116,31.551,0,7000
venture-LinkedList,search,5247,32.964,0,7000
venture-LinkedList,search,2294,15.32,0,7000
venture-LinkedList,search,4110,27.283,0,7000
