Barco,operacion,iteraciones, tiempo,daño, complexity
Camel-RBTree,search,14,0.379,7,12.7731
Camel-RBTree,search,13,0.372,7,12.7731
Camel-RBTree,search,12,0.268,8,12.7731
Camel-RBTree,search,14,0.297,7,12.7731
Camel-RBTree,search,13,0.296,7,12.7731
Camel-RBTree,search,9,0.31,11,12.7731
Camel-RBTree,search,14,0.416,7,12.7731
Camel-RBTree,search,13,0.307,7,12.7731
Camel-RBTree,search,11,0.315,9,12.7731
Camel-RBTree,search,11,0.422,9,12.7731
Camel-RBTree,search,9,0.214,11,12.7731
Camel-RBTree,search,11,0.31,9,12.7731
Camel-RBTree,search,13,0.308,7,12.7731
Camel-RBTree,search,15,0.338,6,12.7731
Camel-RBTree,search,13,0.432,7,12.7731
Camel-RBTree,search,13,0.334,7,12.7731
Camel-RBTree,search,14,0.327,7,12.7731
Camel-RBTree,search,13,0.354,7,12.7731
Camel-RBTree,search,7,0.177,14,12.7731
Camel-RBTree,search,14,0.3,7,12.7731
Camel-RBTree,search,12,0.465,8,12.7731
Camel-RBTree,search,14,0.368,7,12.7731
Camel-RBTree,search,10,0.219,10,12.7731
Camel-RBTree,search,14,0.334,7,12.7731
Camel-RBTree,search,11,0.301,9,12.7731
Camel-RBTree,search,14,0.315,7,12.7731
Camel-RBTree,search,13,0.316,7,12.7731
Camel-RBTree,search,3,0.111,33,12.7731
Camel-RBTree,search,11,0.281,9,12.7731
Camel-RBTree,search,13,0.288,7,12.7731
Camel-RBTree,search,7,0.167,14,12.7731
Camel-RBTree,search,13,0.273,7,12.7731
Camel-RBTree,search,10,0.227,10,12.7731
Camel-RBTree,search,15,0.324,6,12.7731
Camel-RBTree,search,10,0.236,10,12.7731
Camel-RBTree,search,11,0.324,9,12.7731
Camel-RBTree,search,8,0.157,12,12.7731
Camel-RBTree,search,9,0.202,11,12.7731
Camel-RBTree,search,10,0.225,10,12.7731
Camel-RBTree,search,13,0.282,7,12.7731
Camel-RBTree,search,13,0.326,7,12.7731
Camel-RBTree,search,7,0.217,14,12.7731
Camel-RBTree,search,9,0.207,11,12.7731
Camel-RBTree,search,12,0.313,8,12.7731
Camel-RBTree,search,13,0.299,7,12.7731
Camel-RBTree,search,13,0.651,7,12.7731
Camel-RBTree,search,13,0.372,7,12.7731
Camel-RBTree,search,10,0.298,10,12.7731
Camel-RBTree,search,13,0.364,7,12.7731
Camel-RBTree,search,13,0.291,7,12.7731
Camel-RBTree,search,10,0.392,10,12.7731
Camel-RBTree,search,8,0.178,12,12.7731
Camel-RBTree,search,11,0.321,9,12.7731
Camel-RBTree,search,13,0.349,7,12.7731
Camel-RBTree,search,14,0.591,7,12.7731
Camel-RBTree,search,11,0.979,9,12.7731
Camel-RBTree,search,11,0.793,9,12.7731
Camel-RBTree,search,12,0.803,8,12.7731
