Barco,operacion,iteraciones, tiempo,daño, complexity
winterhlater-Splay,search,9,0.777,11,12.7731
winterhlater-Splay,search,8,0.54,12,12.7731
winterhlater-Splay,search,8,0.552,12,12.7731
winterhlater-Splay,search,11,0.625,9,12.7731
winterhlater-Splay,search,8,0.5,12,12.7731
winterhlater-Splay,search,8,0.458,12,12.7731
winterhlater-Splay,search,12,0.931,8,12.7731
winterhlater-Splay,search,9,0.47,11,12.7731
winterhlater-Splay,search,11,2.039,9,12.7731
winterhlater-Splay,search,11,1.73,9,12.7731
winterhlater-Splay,search,10,1.051,10,12.7731
winterhlater-Splay,search,10,0.863,10,12.7731
winterhlater-Splay,search,9,0.649,11,12.7731
winterhlater-Splay,search,10,0.688,10,12.7731
winterhlater-Splay,search,9,0.658,11,12.7731
winterhlater-Splay,search,8,0.549,12,12.7731
winterhlater-Splay,search,9,0.536,11,12.7731
winterhlater-Splay,search,9,0.704,11,12.7731
winterhlater-Splay,search,7,0.639,14,12.7731
winterhlater-Splay,search,6,0.445,16,12.7731
winterhlater-Splay,search,9,0.582,11,12.7731
winterhlater-Splay,search,11,0.686,9,12.7731
winterhlater-Splay,search,10,0.673,10,12.7731
winterhlater-Splay,search,7,0.576,14,12.7731
winterhlater-Splay,search,8,0.584,12,12.7731
winterhlater-Splay,search,10,0.593,10,12.7731
winterhlater-Splay,search,11,0.711,9,12.7731
winterhlater-Splay,search,10,0.576,10,12.7731
winterhlater-Splay,search,11,0.63,9,12.7731
winterhlater-Splay,search,10,0.626,10,12.7731
winterhlater-Splay,search,9,0.612,11,12.7731
winterhlater-Splay,search,9,0.511,11,12.7731
winterhlater-Splay,search,8,0.456,12,12.7731
winterhlater-Splay,search,12,0.638,8,12.7731
winterhlater-Splay,search,9,0.607,11,12.7731
winterhlater-Splay,search,6,0.445,16,12.7731
winterhlater-Splay,search,10,0.774,10,12.7731
winterhlater-Splay,search,6,0.562,16,12.7731
winterhlater-Splay,search,8,0.482,12,12.7731
winterhlater-Splay,search,12,0.978,8,12.7731
