Barco,operacion,iteraciones,daño
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Lista,insert,1,0
Array,insert,0,0
Array,insert,1,0
Array,insert,3,0
Array,insert,2,0
Array,insert,4,0
Array,insert,7,0
Array,insert,4,0
Array,insert,6,0
Array,insert,5,0
Array,insert,7,0
Array,insert,5,0
Array,insert,5,0
Array,insert,15,0
Array,insert,14,0
Array,insert,9,0
Array,insert,14,0
Array,insert,13,0
Array,insert,10,0
Array,insert,8,0
Array,insert,17,0
Array,insert,8,0
Array,insert,9,0
Array,insert,25,0
Array,insert,18,0
Array,insert,13,0
Array,insert,16,0
Array,insert,21,0
Array,insert,7,0
Array,insert,24,0
Array,insert,17,0
Array,insert,10,0
Array,insert,26,0
Array,insert,10,0
Array,insert,8,0
Array,insert,18,0
Array,insert,25,0
Array,insert,40,0
Array,insert,38,0
Array,insert,27,0
Array,insert,17,0
Array,insert,35,0
Array,insert,40,0
Array,insert,35,0
Array,insert,35,0
Array,insert,25,0
Array,insert,7,0
Array,insert,31,0
Array,insert,7,0
Array,insert,41,0
Array,insert,29,0
Array,insert,30,0
Array,insert,47,0
Array,insert,34,0
Array,insert,45,0
Array,insert,10,0
Array,insert,22,0
Array,insert,11,0
Array,insert,29,0
Array,insert,44,0
Array,insert,53,0
Array,insert,40,0
Array,insert,58,0
Array,insert,15,0
Array,insert,43,0
Array,insert,65,0
Array,insert,55,0
Array,insert,41,0
Array,insert,37,0
Array,insert,47,0
Array,insert,73,0
Array,insert,17,0
Array,insert,45,0
Array,insert,64,0
Array,insert,36,0
Array,insert,37,0
Array,insert,22,0
Array,insert,40,0
